price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
25-30k,Mercedes-Benz,E-Klasse,E 220 d,Gray,60-70k,150-200hp,2017,Diesel,Gear type automatic,Limousine,Leder,0-4.5f,50-65d
10-15k,Seat,Ibiza,1.6 TDI,Black,90-100k,0-100hp,2017,Diesel,Gear type manual,Limousine,Stoff,0-4.5f,50-65d
15-20k,Ford,Fiesta,1.0 EcoBoost,Gray,20-30k,100-150hp,2019,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,0-7d
20-25k,Ford,Grand Tourneo Connect,1.5 EcoBlue TDCi,White,70-80k,100-150hp,2018,Diesel,Gear type manual,Kombi,Stoff,4.5-5.5f,15-25d
0-10k,Ford,Fiesta,1.0 EcoBoost,Black,80-90k,100-150hp,2014,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,7-15d
25-30k,Audi,A5 Sportsback,3.0 V6 TDI,Gray,60-70k,200-250hp,2014,Diesel,Gear type automatic,Kombi,Stoff,5.5-6.5f,100+
25-30k,Jeep,Grand Cherokee,3.0 CRD,Gray,90-100k,200-250hp,2015,Diesel,Gear type automatic,SUV,Leder,+6.5f,7-15d
10-15k,Hyundai,i10,1.2,Black,20-30k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,35-50d
10-15k,Citroen,C3,1.2 e-THP,Gray,70-80k,100-150hp,2017,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,7-15d
0-10k,Seat,Mii,1.0,White,90-100k,0-100hp,2014,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,35-50d
0-10k,BMW,1er,114d,Black,90-100k,0-100hp,2013,Diesel,Gear type manual,Limousine,Stoff,0-4.5f,0-7d
10-15k,Volkswagen,Golf VII,1.4 TSI,Gray,100k+,100-150hp,2013,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
20-25k,Mercedes-Benz,C-Klasse,C 200 d,Black,80-90k,100-150hp,2016,Diesel,Gear type automatic,Kombi,Stoff,0-4.5f,35-50d
20-25k,Mazda,CX-3,2.0,Gray,0-10k,100-150hp,2019,Benzin,Gear type automatic,SUV,Leder,+6.5f,0-7d
10-15k,Renault,Clio,0.9 Energy,Black,50-60k,0-100hp,2017,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,0-7d
0-10k,Dacia,Sandero II,0.9 TCe,Gray,60-70k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
10-15k,Opel,Corsa,1.4,White,50-60k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,35-50d
20-25k,BMW,5er,520d,Gray,60-70k,150-200hp,2013,Diesel,Gear type automatic,Limousine,Leder,4.5-5.5f,25-35d
20-25k,Volkswagen,Touran,1.2 TSI,White,70-80k,100-150hp,2018,Benzin,Gear type manual,Van,Stoff,4.5-5.5f,7-15d
15-20k,Skoda,Octavia,1.0 TSI,Black,100k+,100-150hp,2017,Benzin,Gear type automatic,Kombi,Stoff,4.5-5.5f,65-80d
10-15k,Volkswagen,Polo,1.0,White,40-50k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
+30k,Mercedes-Benz,GLE-Klasse,GLE 250 d,Black,60-70k,200-250hp,2016,Diesel,Gear type automatic,SUV,Teilleder,5.5-6.5f,0-7d
0-10k,Hyundai,i10,1.0,Black,50-60k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
20-25k,Jaguar,XE,20d,White,70-80k,150-200hp,2017,Diesel,Gear type automatic,Limousine,Teilleder,0-4.5f,15-25d
20-25k,Peugeot,3008,1.6 Turbo,White,0-10k,150-200hp,2018,Benzin,Gear type automatic,SUV,Teilleder,5.5-6.5f,7-15d
25-30k,Ford,Galaxy,2.0 TDCi,Gray,90-100k,150-200hp,2016,Diesel,Gear type automatic,Van,Stoff,5.5-6.5f,35-50d
10-15k,Mitsubishi,Space,1.2,White,0-10k,0-100hp,2019,Benzin,Gear type automatic,Limousine,Stoff,0-4.5f,15-25d
15-20k,Mercedes-Benz,C-Klasse,C 180 CGI,Black,80-90k,150-200hp,2014,Benzin,Gear type automatic,Kombi,Teilleder,4.5-5.5f,15-25d
15-20k,Nissan,Juke,1.0 DIG-T,Blue,10-20k,100-150hp,2019,Benzin,Gear type manual,SUV,Stoff,4.5-5.5f,35-50d
15-20k,Toyota,Yaris,1.5 Hybrid,Red,0-10k,100-150hp,2020,Hybrid,Gear type automatic,Limousine,Stoff,0-4.5f,7-15d
10-15k,Hyundai,i20,1.0 TGDI,Brown,20-30k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,35-50d
+30k,Mercedes-Benz,GLC-Klasse,GLC 220 d,Gray,20-30k,150-200hp,2020,Diesel,Gear type automatic,SUV,Leder,4.5-5.5f,50-65d
15-20k,Audi,Q3,2.0 TDI,Silver,90-100k,100-150hp,2013,Diesel,Gear type manual,SUV,Stoff,5.5-6.5f,35-50d
15-20k,Skoda,Octavia,2.0 TDI,Black,80-90k,100-150hp,2014,Diesel,Gear type automatic,Kombi,Alcantara,0-4.5f,0-7d
15-20k,BMW,1er,118i,White,30-40k,100-150hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
20-25k,Kia,Sorento,2.2 CRDi,Gray,100k+,150-200hp,2015,Diesel,Gear type automatic,SUV,Leder,+6.5f,0-7d
+30k,Volkswagen,T6 Multivan,2.0 TDI,White,70-80k,100-150hp,2016,Diesel,Gear type manual,Bus,Stoff,5.5-6.5f,35-50d
10-15k,Volkswagen,Golf VII,1.2 TSI,Black,70-80k,100-150hp,2016,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,65-80d
+30k,BMW,3er,330i,Gray,30-40k,+250hp,2019,Benzin,Gear type automatic,Kombi,Leder,+6.5f,50-65d
