company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
"Ilhan Automobile Duisburg-Neudorf, Inh. Mehmet Ilhan",6,Small_buyer,3,9,5,133,2007,183022,3628,33,0,66,50,50,0,300
"Damann Automobile, Inh. Basir Ahmad",10,Small_buyer,4,6,9,236,2015,100012,17994,30,70,0,50,50,0,1057
"Autohandel C.Ofridopoulos, Inh. Christoforos Ofridopoulos",16,Medium_buyer,5,6,9,115,2011,84748,6320,6,6,87,12,87,0,759
CARRO AUTO s.r.o.,1,Small_buyer,1,10,3,150,2013,154241,9166,100,0,0,100,0,0,1504
St Kristóf Auto Kft.,1,Small_buyer,1,8,2,120,2007,110671,2651,0,0,100,0,100,0,259
Le grand cedre,1,Small_buyer,1,7,3,82,2017,70830,9183,0,0,100,0,100,0,1523
"Gocarlux, Inh. Houshang Saki",22,Medium_buyer,6,7,6,152,2007,198488,1815,0,45,54,27,72,0,-125
ASTRA M.S. DOOEL Skopje,1,Small_buyer,1,8,2,102,2012,169933,4450,0,0,100,0,100,0,296
ALORA AUTO SRL,1,Small_buyer,1,10,3,230,2014,224220,7081,0,100,0,100,0,0,-4208
AUTO SUPRA j.d.o.o.,7,Small_buyer,3,8,6,104,2013,98393,5903,0,0,100,100,0,0,571
Martin Kroča,13,Small_buyer,4,3,8,144,2010,154167,7599,0,30,69,61,38,0,810
S DIAMANTIS KAI IIOI OE,2,Small_buyer,1,10,4,77,2016,92980,6212,0,0,100,0,100,0,821
LEMAITRE PHILIPPE,1,Small_buyer,1,7,2,75,2004,106727,1403,0,100,0,0,100,0,411
KWD Sp. z o.o.,2,Small_buyer,1,3,6,233,2018,159610,21850,50,50,0,50,0,50,200
ADRIAN FRANCISC,1,Small_buyer,1,4,4,130,2017,148941,12200,0,100,0,100,0,0,169
Altenburg-Garage AG,4,Small_buyer,2,10,8,198,2020,32261,23375,100,0,0,0,100,0,620
"Main Kinzig Automobile, Inh. Suhail Haidari",1,Small_buyer,1,9,2,100,2005,70996,1866,100,0,0,0,100,0,432
LOBATO FIGUEIREDO - COMERCIO DE VEICULOS UNIPESSOAL LDA,1,Small_buyer,1,7,2,100,2013,124581,4285,0,0,100,0,100,0,292
JOÃO VIDAL UNIPESSOAL LDA,1,Small_buyer,1,8,3,85,2015,92249,5072,0,0,100,0,100,0,730
John van der Molen B.V.,1,Small_buyer,1,10,6,400,2017,101230,38337,100,0,0,0,100,0,1472
Amir Car Sales & Shipping e.K.,18,Medium_buyer,5,9,8,125,2007,157862,4721,11,61,27,0,100,0,558
SARL 2 J.C.,13,Small_buyer,4,3,5,84,2008,125958,2691,0,0,100,0,100,0,471
"Leo Automobile, Inh. Leonard Krasnic",24,Medium_buyer,6,5,8,159,2008,286370,4121,12,50,37,87,12,0,463
BOŠTJAN TRAMPUŽ S.P.,17,Medium_buyer,5,3,9,158,2014,134117,11972,17,23,58,70,29,0,1164
AVG Auto-Vertrieb-GmbH Raubling,1,Small_buyer,1,10,4,82,2020,22035,17170,0,100,0,0,0,100,1797
VSB Auto's B.V.,119,Top_buyer,9,1,12,147,2016,75471,16406,16,14,68,0,100,0,1166
Tomáš Vosatka,2,Small_buyer,1,10,3,137,2009,241386,3791,0,0,100,0,100,0,705
SIMPLICITY SRL,3,Small_buyer,2,7,3,129,2006,185589,2835,0,0,100,0,100,0,235
CARLOS RAMOS - AUTOMÓVEIS LDA,1,Small_buyer,1,10,4,82,2018,6255,13651,0,100,0,0,0,100,495
"Avto elan, prodaja vozil, Ermin Ličina s.p.",2,Small_buyer,1,8,4,191,2012,282126,9176,50,50,0,100,0,0,1114
FIGGOS ANASTASIOS DIMITRIOS,17,Medium_buyer,5,8,8,90,2013,103417,5765,0,5,94,0,88,11,636
"SIA ""MT MOTORS""",11,Small_buyer,4,8,3,114,2000,281944,901,0,9,90,72,27,0,307
MN invest s.r.o.,5,Small_buyer,3,3,5,169,2010,190685,6692,0,20,80,80,20,0,722
NaZso-Global Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,1,Small_buyer,1,9,2,68,2007,146520,1666,0,0,100,0,100,0,456
BULLY GARAGE,1,Small_buyer,1,7,2,265,1991,139346,3800,0,100,0,0,100,0,-2033
nextcarlease GmbH,1,Small_buyer,1,10,4,205,2010,96043,17668,0,0,100,0,100,0,838
AUTOMOBILES BOUTRIES PARE BRISE,11,Small_buyer,4,1,6,108,2008,114275,3182,0,9,90,0,100,0,412
ARG AUTOGAS SL,1,Small_buyer,1,8,3,250,2013,126638,7749,0,0,100,0,100,0,-159
Autobedrijf Bruin Echtenerbrug Friesland,3,Small_buyer,2,7,7,173,2017,72992,16942,0,33,66,0,100,0,299
SAL-VADOR-CAR Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,Small_buyer,1,9,2,140,2009,246158,4118,0,0,100,100,0,0,467
HORVÁTH & DUBECZ TANÁCSADÓ KORLÁTOLT FELELŐSSÉGÜ TÁRSASÁG,1,Small_buyer,1,9,2,170,2010,175518,3250,0,0,100,0,100,0,260
