stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
JG49121,7990,Fiat,Punto,1.2,Benzin,8,8-9,0_10,2016,70,63439,Gear type manual,8111
VT79478,16347,Toyota,Aygo X,1.0,Benzin,2,2-3,15_20,2022,72,5523,Gear type manual,8111
VW41924,30035,BMW,2er,220i,Benzin,4,4-5,30+,2020,185,28535,Gear type automatic,1008
EJ11776,18410,Volkswagen,Polo,1.0 TSI,Benzin,5,4-5,15_20,2019,95,55348,Gear type automatic,8111
JD14425,19205,Volkswagen,Golf VII,1.5 TSI,Benzin,7,6-7,15_20,2017,150,60851,Gear type automatic,1023
VZ83112,16390,Hyundai,i20,1.0 TGDI,Benzin,4,4-5,15_20,2019,100,32216,Gear type automatic,8111
RY77767,16939,Volkswagen,Polo,1.0 TSI,Benzin,4,4-5,15_20,2020,116,34074,Gear type manual,8111
SL38026,18150,Nissan,Qashqai,1.6,Benzin,6,6-7,15_20,2018,163,93901,Gear type manual,1035
LZ09984,19825,Ford,EcoSport,1.0 EcoBoost,Benzin,4,4-5,15_20,2020,125,8871,Gear type manual,1035
DH23226,17825,Renault,Kadjar,1.3 TCe,Benzin,6,6-7,15_20,2018,159,58507,Gear type manual,1035
DB68113,16390,Peugeot,208,1.2 PureTech,Benzin,2,2-3,15_20,2022,75,13415,Gear type manual,8111
PZ30962,16905,Volkswagen,Golf VII,1.4 TSI,Benzin,6,6-7,15_20,2017,125,90581,Gear type automatic,1023
CD34433,16141,Suzuki,SX4,1.4 BoosterJet,Benzin,7,6-7,15_20,2017,140,84288,Gear type manual,1035
PC92504,9388,Hyundai,i20,1.2,Benzin,8,8-9,0_10,2016,85,98650,Gear type manual,8111
CV31661,10990,Volkswagen,Polo,1.2 TSI,Benzin,10,10-11,10_15,2014,90,66303,Gear type manual,8111
PR64885,12539,Ford,Focus,2.0 TDCi,Diesel,8,8-9,10_15,2016,150,110191,Gear type manual,1025
UX88483,16990,Audi,A1,1.4 TFSI,Benzin,9,8-9,15_20,2015,125,61311,Gear type automatic,8111
HL06010,15990,Volkswagen,Passat,2.0 TDI,Diesel,9,8-9,15_20,2015,150,111344,Gear type manual,1023
JN48295,33430,Seat,Alhambra,2.0 TSI,Benzin,6,6-7,30+,2018,220,39522,duplex,1038
AN09734,22490,Volkswagen,Golf VII,2.0 TSI,Benzin,8,8-9,20_25,2016,220,38212,Gear type automatic,1025
XU84620,19491,Renault,Kadjar,1.3 TCe,Benzin,5,4-5,15_20,2019,140,40006,Gear type automatic,1035
LH76533,16690,Opel,Grandland X,1.2,Benzin,5,4-5,15_20,2018,130,68950,Gear type manual,1035
GW73369,29600,Mazda,CX-5,2.2 SKYACTIV-D,Diesel,4,4-5,25_30,2020,184,30451,Gear type automatic,1035
HE82839,12370,Volkswagen,up!,1.0 TSI,Benzin,8,8-9,10_15,2016,90,23854,Gear type manual,8111
VA63242,13280,Dacia,Logan MCV,0.9 TCe,Benzin,5,4-5,10_15,2019,90,40242,Gear type manual,1023
CD39401,12490,Ford,Fiesta,1.6 EcoBoost,Benzin,8,8-9,10_15,2016,182,118844,Gear type manual,1025
BA85350,8190,Peugeot,208,1.2 e-VTi,Benzin,9,8-9,0_10,2015,82,76436,Gear type manual,8111
AC83121,9801,Ford,Focus,1.0 EcoBoost,Benzin,10,10-11,0_10,2014,100,80179,Gear type manual,1023
