dates,cars_sold_de,cars_online,avg_buyprice,bookmarks,opportunity
2022-05-12,67,3876,19275,1814,2890
2022-05-13,60,3926,19173,1600,2740
2022-05-14,36,3936,19112,1546,2425
2022-05-15,41,3896,19093,1688,2259
2022-05-16,65,3850,19049,1864,3322
2022-05-17,63,3879,19015,1893,2513
2022-05-18,59,3880,18976,1788,3437
2022-05-19,61,3941,18800,1907,2905
2022-05-20,54,4054,18718,1659,2715
2022-05-21,36,4026,18612,1621,2391
2022-05-22,19,4029,18602,2146,2093
2022-05-23,69,4004,18597,1554,3114
2022-05-24,60,4061,18542,2114,3300
2022-05-25,40,4104,18437,1567,3128
2022-05-26,33,4021,18291,1671,2838
2022-05-27,71,4035,18323,1659,2898
2022-05-28,37,4020,18251,1823,2403
2022-05-29,35,3980,18271,1907,2288
2022-05-30,64,3914,18258,1826,3198
2022-05-31,64,3905,18208,2040,3070
2022-06-01,61,3925,18090,1819,2901
2022-06-02,58,3912,18022,1864,2626
2022-06-03,45,3994,17961,1906,2646
2022-06-04,28,4021,17885,1682,2334
2022-06-05,21,4015,17851,1828,2268
2022-06-06,18,3983,17882,2196,3083
2022-06-07,79,3924,17893,1621,3365
2022-06-08,66,3914,17749,2017,3247
2022-06-09,79,4028,17656,2000,3186
2022-06-10,47,4186,17600,1686,2822
2022-06-11,48,4169,17569,1515,2408
2022-06-12,27,4136,17577,1967,2184
2022-06-13,76,4182,17565,2037,3086
2022-06-14,66,4146,17503,1519,2987
2022-06-15,64,4225,17408,1615,3110
2022-06-16,48,4238,17334,2032,2987
2022-06-17,62,4263,17266,1672,2826
2022-06-18,39,4235,17292,1587,2347
2022-06-19,35,4203,17317,1907,2451
2022-06-20,77,4177,17346,1871,3448
2022-06-21,70,4230,17295,2294,3317
2022-06-22,64,4243,17287,2046,3261
2022-06-23,63,4290,17247,1711,3175
2022-06-24,57,4362,17220,1937,3010
2022-06-25,47,4380,17209,1805,2688
2022-06-26,32,4336,17199,2101,2522
2022-06-27,75,4326,17193,1912,3471
2022-06-28,72,4280,17183,2254,3370
2022-06-29,85,4301,17111,2130,3249
2022-06-30,59,4340,17053,1901,3099
2022-07-01,66,4412,17038,1767,2779
2022-07-02,47,4419,17016,1787,2578
2022-07-03,36,4383,17036,1848,2482
2022-07-04,89,4279,17042,1833,3177
2022-07-05,68,4309,16973,1861,3286
2022-07-06,59,4352,16972,2027,3172
2022-07-07,73,4398,16982,2235,3073
2022-07-08,65,4437,16996,1321,2683
2022-07-09,51,4473,16963,1903,2378
2022-07-10,39,4465,16999,2185,2283
2022-07-11,80,4379,16998,1758,3131
2022-07-12,52,4403,16938,2003,3066
2022-07-13,84,4396,16948,2034,3292
2022-07-14,60,4501,16991,1940,2930
2022-07-15,51,4534,16967,1715,2878
2022-07-16,50,4613,16918,1352,2508
2022-07-17,34,4611,16922,1956,2405
2022-07-18,66,4544,16957,1844,3306
2022-07-19,61,4487,16899,1902,3099
2022-07-20,54,4540,16904,1649,2921
2022-07-21,65,4544,16903,1455,3054
2022-07-22,57,4637,16894,1297,2754
2022-07-23,44,4670,16842,1788,2610
2022-07-24,33,4669,16835,1546,2437
2022-07-25,79,4589,16886,1944,3437
2022-07-26,71,4540,16733,2067,3323
2022-07-27,74,4575,16747,1858,3391
2022-07-28,69,4555,16743,1536,3087
2022-07-29,76,4592,16732,1393,2917
2022-07-30,45,4704,16699,1782,2616
2022-07-31,40,4670,16736,1931,2547
2022-08-01,76,4599,16779,1830,3238
2022-08-02,80,4562,16690,1759,3279
2022-08-03,81,4552,16657,1761,3155
2022-08-04,86,4544,16603,1633,2977
2022-08-05,86,4526,16629,1472,2797
2022-08-06,43,4560,16581,1542,2491
2022-08-07,40,4517,16586,1693,2383
2022-08-08,89,4420,16620,1599,3224
2022-08-09,82,4405,16632,1774,3113
2022-08-10,78,4410,16655,1890,3107
2022-08-11,71,4413,16645,1629,2978
2022-08-12,73,4345,16644,1463,2760
2022-08-13,46,4422,16595,1543,2270
2022-08-14,28,4446,16610,1548,2327
2022-08-15,98,4322,16639,1781,2667
2022-08-16,84,4278,16573,1644,3127
2022-08-17,78,4258,16580,1614,3181
2022-08-18,76,4242,16591,1477,3037
2022-08-19,67,4251,16578,1482,2919
2022-08-20,46,4253,16564,1436,2482
2022-08-21,33,4212,16599,1566,2488
2022-08-22,84,4101,16608,1553,3260
2022-08-23,66,4087,16530,1810,3367
2022-08-24,85,4182,16536,1611,3540
2022-08-25,69,4147,16525,1391,3203
2022-08-26,70,4158,16524,1689,3141
2022-08-27,47,4176,16533,1535,2689
