id,first_price,eligible_month,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
DP48154,16850.0,August,DE,0,Opel,Zafira Tourer,1.6 SIDI Turbo,White,2016,Van,Stoff,7.2,85726,170,Benzin,automatic,35
ME15625,17490.0,April,DE,0,Renault,Kadjar,1.5 Blue dCi,White,2018,SUV,Teilleder,4.6,59350,116,Diesel,manual,44
GZ57792,10950.0,June,DE,0,Dacia,Logan MCV II,0.9 TCe,White,2017,Kombi,Stoff,4.9,73620,90,Benzin,manual,22
EY69265,9350.0,April,DE,0,Smart,fortwo,1.0,Red,2016,Coupe,Stoff,4.1,40759,70,Benzin,manual,10
AK36894,11790.0,April,DE,0,Renault,Twingo,1.0 SCe,Blue,2019,Limousine,Stoff,4.4,12076,73,Benzin,manual,48
ZH07715,38690.0,June,DE,0,Mercedes-Benz,E-Klasse,E 350e,Gray,2017,Limousine,Leder,2.1,35028,210,Hybrid,automatic,19
GD42085,25600.0,January,DE,0,Mitsubishi,Outlander,2.0,Gray,2016,SUV,Leder,1.8,45655,120,Hybrid,automatic,34
NJ08510,29300.0,March,FI,0,Volkswagen,Golf VIII,1.5 eTSI,Black,2020,Limousine,Alcantara,4.7,18673,150,Benzin,automatic,81
NM83655,24710.0,November,DE,0,Seat,Ateca,1.4 TSI ACT,Black,2018,SUV,Alcantara,6.1,33926,150,Benzin,manual,38
RB24256,12700.0,June,DE,0,Renault,Clio,1.2 TCe,Red,2015,Limousine,Stoff,5.2,11120,120,Benzin,automatic,1
CZ31304,26600.0,November,DE,0,Peugeot,5008,1.2 e-THP,Black,2019,SUV,Teilleder,5.4,20234,130,Benzin,manual,70
EB22042,13070.0,March,PL,0,Ford,Tourneo,1.0 EcoBoost,Gray,2016,Kombi,Stoff,5.3,67461,100,Benzin,manual,49
LR75190,9900.0,September,DE,0,Ford,Focus,1.0 EcoBoost,Black,2016,Limousine,Stoff,4.7,96033,125,Benzin,manual,3
NZ77663,31500.0,August,DE,0,Volkswagen,Tiguan,2.0 TSI,Gray,2017,SUV,Alcantara,7.8,41172,220,Benzin,automatic,107
LJ72214,28580.0,June,CZ,0,Audi,SQ5,3.0 V6 TDI,Black,2014,SUV,Teilleder,6.8,107217,313,Diesel,automatic,10
JV00324,30320.0,November,DE,0,Mercedes-Benz,GLA-Klasse,GLA 200,Black,2019,SUV,Teilleder,6.4,21492,155,Benzin,automatic,56
EY92025,23690.0,October,DE,0,Mazda,CX-5,2.0,Red,2018,SUV,Stoff,6.4,15185,165,Benzin,manual,1
LG30662,18800.0,October,DE,0,Ford,S-Max,1.5 EcoBoost,Green,2015,Van,Stoff,5.6,53780,160,Benzin,manual,103
CK96035,30340.0,December,DE,0,Hyundai,Tucson,1.6 TGDI,Gray,2019,SUV,Alcantara,5.4,22526,177,Benzin,automatic,63
AR25257,15620.0,February,DE,0,Volkswagen,Golf VII Sportsvan,2.0 TDI,Blue,2015,Van,Alcantara,4.2,80351,150,Diesel,manual,14
KW74125,12690.0,September,DE,0,Volkswagen,up!,1.0 TSI,Gray,2018,Limousine,Stoff,4.4,22383,90,Benzin,manual,39
JA04710,21400.0,July,DE,0,Mercedes-Benz,E-Klasse,E 220 CDI,Gray,2015,Kombi,Teilleder,4.8,85789,170,Diesel,automatic,34
FP49926,26810.0,April,DE,0,Ford,Grand Tourneo Connect,1.5 EcoBlue TDCi,White,2018,Kombi,Stoff,5.2,64063,120,Diesel,automatic,3
TP10648,22580.0,February,DE,0,Mercedes-Benz,C-Klasse,C 200,Gray,2015,Kombi,Teilleder,5.5,88661,185,Benzin,automatic,8
ZL28369,18950.0,April,DE,0,Opel,Mokka X,1.4 SIDI Turbo,Brown,2017,SUV,Teilleder,6.4,28354,152,Benzin,automatic,57
BJ50564,12490.0,October,CZ,0,Audi,A1,1.0 TFSI,White,2015,Limousine,Stoff,4.4,98697,95,Benzin,manual,7
TH79633,25400.0,September,DE,0,BMW,X1,xDrive 20i,White,2015,SUV,Leder,6.3,33434,192,Benzin,automatic,25
GE99502,14600.0,January,DE,0,Mazda,6,2.2 Turbodiesel,Black,2015,Kombi,Stoff,4.6,108194,150,Diesel,manual,6
BA21421,16190.0,November,DE,0,Audi,Q3,2.0 TFSI,Gray,2013,SUV,Stoff,7.3,105825,170,Benzin,manual,16
TK99655,12720.0,February,DE,0,Smart,forfour,1.0,Black,2018,Limousine,Leder,5.0,37724,70,Benzin,automatic,27
XJ01002,14000.0,November,DE,0,Honda,Accord,2.0,Black,2014,Kombi,Stoff,7.6,91678,155,Benzin,manual,41
ZX22897,20300.0,October,DE,0,Mazda,3,2.0,Red,2019,Limousine,Leder,5.0,22596,122,Benzin,manual,22
EX76338,11990.0,September,DE,0,Hyundai,i20,1.2,Gray,2018,Limousine,Stoff,4.8,46501,85,Benzin,manual,10
PN97898,13490.0,April,DE,0,Volkswagen,Golf VII,1.6 TDI,Black,2014,Limousine,Stoff,3.8,102808,105,Diesel,manual,94
GK69138,10100.0,October,DE,0,Ford,Fiesta,1.1,White,2017,Limousine,Stoff,4.7,56900,70,Benzin,manual,11
