stock_number,retail_country,rating_scale,rates,make,model,mileage_cluster,mileage,horsepower,built_year,esp,fueltype,geartype,body_type
UW82004,AT,4,4- A little high,Ford,C-Max,100k+,122291,125,2016,12190.0,Benzin,Gear type manual,Van
KR47844,IT,4,4- A little high,Citroen,C1,40-50k,49148,70,2018,12099.0,Benzin,Semi-automatic,Limousine
GH53682,DE,4,4- A little high,Mazda,6,90-100k,94463,150,2016,16129.0,Diesel,Gear type automatic,Kombi
RA83105,DE,4,4- A little high,BMW,3er,80-90k,89337,135,2014,14685.0,Benzin,Gear type manual,Limousine
SY97176,DE,4,4- A little high,Volkswagen,Golf VII,60-70k,68393,150,2017,19990.0,Benzin,Gear type automatic,Limousine
NA52950,DE,2,2- Good,Mercedes-Benz,CLA-Klasse,30-40k,35787,155,2018,28690.0,Benzin,Gear type automatic,Kombi
DE11084,IT,4,4- A little high,Dacia,Sandero II,0-10k,9000,73,2015,8999.0,Benzin,Gear type manual,Limousine
BN67611,DE,2,2- Good,Kia,cee'd,50-60k,58341,100,2016,11580.0,Benzin,Gear type manual,Limousine
WT84176,DE,4,4- A little high,Audi,Q2,100k+,114988,116,2019,20190.0,Diesel,Gear type manual,SUV
LZ20499,DE,3,3- Appropriate,Jeep,Grand Cherokee,100k+,108104,190,2015,24990.0,Diesel,Gear type automatic,SUV
SP88326,DE,4,4- A little high,Renault,Megane,60-70k,65260,116,2019,17490.0,Diesel,Gear type automatic,Kombi
YV42756,DE,2,2- Good,Mercedes-Benz,CLS-Klasse,50-60k,58235,252,2014,28690.0,Diesel,Gear type automatic,Kombi
TG53519,DE,2,2- Good,Jaguar,XE,60-70k,63614,340,2016,29590.0,Benzin,Gear type automatic,Limousine
EN14555,DE,5,5- Too high,Dacia,Duster,30-40k,39253,125,2017,14190.0,Benzin,Gear type manual,SUV
RN22324,IT,4,4- A little high,Audi,A3,100k+,128586,150,2014,15299.0,Diesel,duplex,Limousine
PT90172,BE,1,1- Very Good,Citroen,C3,0-10k,8618,82,2020,13900.0,Benzin,Gear type manual,Limousine
AV99569,DE,4,4- A little high,Mercedes-Benz,C-Klasse,80-90k,83734,155,2015,22950.0,Benzin,Gear type automatic,Kombi
CW36822,PL,2,2- Good,Audi,A6,100k+,153802,190,2017,21430.0,Diesel,duplex,Kombi
YS29167,IT,4,4- A little high,BMW,3er,100k+,143253,185,2014,14299.0,Diesel,Gear type automatic,Kombi
