dates,cars_sold_de,cars_sold_it,cars_sold_fr,cars_sold_es,cars_sold_pl,cars_sold_se,cars_sold_at,cars_sold_be,cars_sold_nl
2021-10-28,51,23,25,28,16,10,11,10,10
2021-10-29,60,13,29,21,4,8,7,12,4
2021-10-30,43,22,25,11,13,3,4,4,3
2021-10-31,27,11,5,7,2,6,0,1,5
2021-11-01,65,11,16,9,2,7,1,7,9
2021-11-02,75,23,27,22,23,11,9,10,7
2021-11-03,60,32,27,16,16,14,5,14,10
2021-11-04,65,19,31,20,17,10,8,24,9
2021-11-05,59,23,14,23,17,3,7,2,5
2021-11-06,47,28,24,10,16,1,2,13,9
2021-11-07,28,14,12,5,2,3,1,3,7
2021-11-08,68,23,22,33,16,14,8,13,12
2021-11-09,62,33,29,16,16,13,5,17,9
2021-11-10,70,26,20,23,12,13,4,7,8
2021-11-11,50,29,8,10,2,10,2,4,9
2021-11-12,56,21,19,23,17,10,3,4,9
2021-11-13,53,21,20,8,3,4,2,8,2
2021-11-14,25,15,13,8,0,4,3,3,5
2021-11-15,74,22,30,29,15,13,5,9,16
2021-11-16,65,33,24,25,17,7,3,15,12
2021-11-17,62,19,22,29,14,7,5,12,14
2021-11-18,64,20,26,32,7,11,4,15,10
2021-11-19,46,36,23,18,15,18,3,5,9
2021-11-20,34,19,16,8,16,1,2,14,3
2021-11-21,26,5,5,11,3,3,3,5,2
2021-11-22,67,22,19,22,13,11,2,5,10
2021-11-23,70,22,26,22,11,10,6,15,9
2021-11-24,64,23,23,34,8,11,4,7,8
2021-11-25,56,26,21,20,16,13,10,6,10
2021-11-26,44,13,23,21,15,6,6,8,8
2021-11-27,54,21,22,11,18,4,3,3,3
2021-11-28,21,9,8,11,6,5,3,2,4
2021-11-29,68,26,15,25,18,14,6,15,6
2021-11-30,66,26,19,15,19,7,7,4,8
2021-12-01,48,18,20,23,17,4,5,9,8
2021-12-02,58,16,29,27,9,7,9,10,4
2021-12-03,46,18,22,15,11,11,4,9,13
2021-12-04,40,6,24,11,12,7,6,9,6
2021-12-05,30,8,16,3,2,2,2,1,2
2021-12-06,57,29,32,5,15,9,4,9,8
2021-12-07,59,19,32,11,12,11,5,6,14
2021-12-08,61,14,28,10,15,17,3,10,11
2021-12-09,44,19,39,19,12,10,10,7,3
2021-12-10,60,18,15,16,7,10,2,4,6
2021-12-11,41,8,17,17,15,5,7,9,3
2021-12-12,26,8,9,4,9,3,6,8,2
2021-12-13,64,31,29,21,13,13,11,9,8
2021-12-14,49,24,28,14,11,13,6,9,8
2021-12-15,61,21,19,13,11,10,3,12,5
2021-12-16,58,14,26,16,14,4,8,19,11
2021-12-17,34,20,26,19,13,7,3,12,7
2021-12-18,36,9,20,4,11,0,6,7,3
2021-12-19,20,10,7,6,6,5,2,5,7
2021-12-20,52,22,22,15,6,16,4,7,10
2021-12-21,51,15,18,7,11,9,5,6,8
2021-12-22,33,28,23,18,11,11,2,5,2
2021-12-23,31,22,18,19,9,8,7,11,9
2021-12-24,26,15,16,8,1,0,0,4,7
2021-12-25,13,2,6,1,2,1,1,2,1
2021-12-26,18,3,11,6,2,4,2,3,6
2021-12-27,47,16,33,30,6,11,0,15,17
2021-12-28,62,28,21,20,12,8,2,10,13
2021-12-29,59,20,25,20,13,11,8,12,13
2021-12-30,63,22,27,23,7,9,3,14,5
2021-12-31,24,15,15,5,10,2,2,3,8
2022-01-01,17,1,8,2,1,1,2,3,1
2022-01-02,19,6,11,7,2,7,1,5,8
2022-01-03,64,23,31,23,11,14,7,14,13
2022-01-04,52,17,40,16,8,9,7,13,12
2022-01-05,89,21,39,15,14,2,13,13,9
2022-01-06,49,11,43,5,5,4,3,9,11
2022-01-07,75,38,25,13,15,6,12,17,9
2022-01-08,61,15,30,17,8,4,11,7,6
2022-01-09,21,14,13,4,6,2,5,2,5
2022-01-10,68,30,20,26,7,6,8,9,11
2022-01-11,82,19,22,28,14,9,8,16,10
2022-01-12,69,30,18,31,18,8,5,15,6
2022-01-13,54,21,22,28,13,8,4,12,8
2022-01-14,71,34,28,23,13,8,7,10,7
2022-01-15,53,18,38,14,14,9,4,6,8
2022-01-16,34,8,10,10,9,2,3,3,5
2022-01-17,78,30,31,20,22,11,12,12,5
2022-01-18,70,21,40,21,17,18,7,13,6
2022-01-19,56,26,23,29,18,11,4,12,5
2022-01-20,41,27,32,22,17,7,8,17,10
2022-01-21,59,17,19,23,12,11,10,9,10
2022-01-22,53,21,24,21,6,8,9,3,2
2022-01-23,20,16,14,9,5,5,1,8,3
2022-01-24,76,31,34,32,23,11,8,12,13
2022-01-25,69,25,35,29,21,6,12,10,6
2022-01-26,54,26,31,17,14,9,8,8,14
2022-01-27,48,35,25,20,14,14,7,8,8
2022-01-28,52,26,28,25,16,12,4,7,3
2022-01-29,56,26,36,17,17,8,4,4,11
2022-01-30,30,16,14,14,6,5,4,2,4
2022-01-31,77,29,28,31,13,15,10,13,9
2022-02-01,56,34,30,25,28,8,8,13,9
2022-02-02,54,31,35,27,29,13,7,5,8
2022-02-03,50,32,25,29,23,5,7,10,8
2022-02-04,64,29,22,23,14,16,4,14,7
2022-02-05,43,18,21,9,13,5,8,7,7
2022-02-06,21,17,7,7,8,5,5,9,5
2022-02-07,74,44,34,28,21,10,11,11,8
2022-02-08,64,24,35,26,15,6,15,4,6
2022-02-09,58,28,43,20,16,8,8,8,10
2022-02-10,72,21,28,28,22,5,7,10,8
2022-02-11,54,26,32,16,19,7,5,8,2
2022-02-12,48,20,15,8,15,4,3,7,4
2022-02-13,31,18,10,12,5,5,2,3,5
2022-02-14,58,31,27,23,16,14,14,11,7
2022-02-15,47,26,39,19,19,14,5,10,6
2022-02-16,58,41,37,30,20,8,14,14,9
2022-02-17,55,21,31,26,14,12,2,16,6
2022-02-18,69,24,26,18,11,6,8,13,1
2022-02-19,54,24,21,11,18,5,5,5,2
2022-02-20,34,9,10,7,11,8,3,3,4
2022-02-21,67,28,21,24,15,8,12,7,12
2022-02-22,63,29,30,22,18,7,7,6,7
2022-02-23,61,34,31,29,12,9,7,11,9
2022-02-24,54,15,18,20,13,6,8,8,13
2022-02-25,52,16,28,18,7,7,6,9,5
2022-02-26,42,18,20,9,8,3,6,3,2
2022-02-27,26,7,6,7,7,2,2,3,2
2022-02-28,63,34,41,23,15,8,7,7,5
2022-03-01,70,20,33,21,16,8,6,11,7
2022-03-02,48,26,32,14,18,5,4,4,4
2022-03-03,59,23,28,15,14,10,9,10,10
2022-03-04,55,29,28,12,19,5,11,9,5
2022-03-05,39,23,26,15,12,1,3,3,4
2022-03-06,28,16,12,10,6,3,3,2,4
2022-03-07,48,30,34,22,19,5,11,9,7
2022-03-08,34,29,23,19,16,9,5,5,14
2022-03-09,51,19,29,15,15,10,11,7,6
2022-03-10,45,32,31,15,13,7,7,10,6
2022-03-11,38,26,22,13,13,7,6,12,4
2022-03-12,34,14,24,15,8,4,3,2,5
2022-03-13,21,7,14,8,9,3,2,6,3
2022-03-14,50,29,32,19,23,15,6,4,4
2022-03-15,62,15,26,19,17,11,7,10,5
2022-03-16,46,25,23,16,18,9,7,9,6
2022-03-17,48,20,22,28,17,11,4,11,6
2022-03-18,47,27,23,19,18,11,5,7,4
2022-03-19,35,20,15,11,12,4,2,9,5
2022-03-20,21,9,11,7,5,6,1,2,2
2022-03-21,41,29,36,25,12,15,14,7,11
