id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_offline,time_online_to_reserve_
TH47246,13490.0,November,113.7,2.118,6.7,2.07,DE,0,Renault,Captur,1.5 dCi Energy,Brown,2015,SUV,Alcantara,3,59779,110,Diesel,manual,7,98,5,2,1,0,15.36795655125594,4.93346911065852,0.7361393980538583,5,42
JD65743,19010.0,May,116.5,1.632,6.8,2.34,DE,0,BMW,3er,318i,Gray,2019,Kombi,Stoff,6,89458,135,Benzin,manual,1,170,5,3,1,0,19.620833333333334,4.6975,0.9302777777777778,0,13
PZ14272,18170.0,April,108.8,2.047,4.8,0.74,DE,0,Mazda,CX-5,2.2 Turbodiesel,Red,2013,SUV,Leder,5,68239,175,Diesel,automatic,4,144,5,1,1,0,10.272014925373135,3.296641791044776,0.4414179104477612,4,66
LC97246,25470.0,November,113.7,2.118,6.7,2.07,DE,1,Hyundai,i30,2.0 TGDI,Gray,2019,Limousine,Teilleder,7,48426,275,Benzin,manual,10,188,5,1,1,0,15.36795655125594,4.93346911065852,0.7361393980538583,0,39
MP92079,21780.0,February,115.2,1.813,7.0,2.37,DE,0,Volkswagen,Golf VII,1.8 TSI,Gray,2017,Kombi,Stoff,6,55432,180,Benzin,automatic,2,157,5,2,1,1,23.243038844963905,6.263320728772774,0.9532485390168443,0,15
YH18593,12990.0,November,113.7,2.118,6.7,2.07,CZ,0,Seat,Leon,1.2 TSI,Blue,2017,Limousine,Stoff,5,51823,85,Benzin,manual,4,119,5,1,0,1,15.36795655125594,4.93346911065852,0.7361393980538583,0,1
XP75267,14810.0,March,108.1,1.794,4.3,0.28,DE,0,Nissan,Juke,1.6,White,2018,SUV,Stoff,7,64512,113,Benzin,manual,1,185,5,3,0,0,11.571907756813417,3.8846960167714886,0.4639412997903564,15,101
NJ01499,35400.0,May,109.8,2.056,4.8,0.95,DE,0,Volkswagen,T6 Multivan,2.0 TSI,Blue,2017,Bus,Stoff,7,97460,150,Benzin,manual,6,210,7,2,0,0,9.547884552312233,2.8591341423417513,0.4412922269596589,12,69
VR60011,13620.0,June,109.8,1.976,4.6,1.45,DE,0,Ford,Fiesta,1.0 EcoBoost,Gray,2018,Limousine,Stoff,4,46623,100,Benzin,manual,3,97,5,2,1,1,9.02660310625865,2.8197754882361985,0.4354913117022913,0,33
BL90889,15420.0,June,109.8,1.976,4.6,1.45,DE,0,Audi,A3,1.6 TDI,Black,2015,Limousine,Teilleder,3,71944,110,Diesel,manual,1,105,5,2,1,0,9.02660310625865,2.8197754882361985,0.4354913117022913,0,20
