id,buy_price,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage,horsepower,benzin,diesel,automatic,manual,time_online_to_reserve_
EN02825,10762,Nissan,Qashqai,1.2,Brown,2014,SUV,Stoff,101468,115,1,0,0,1,55
NC46700,7852,Ford,Focus,1.0 EcoBoost,Gray,2016,Kombi,Stoff,80773,100,1,0,0,1,2
JX59613,23512,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 220,Black,2018,Kombi,Alcantara,59978,185,1,0,1,0,22
BL90889,11397,Audi,A3,1.6 TDI,Black,2015,Limousine,Teilleder,71944,110,0,1,0,1,20
CH90607,13016,Renault,Scenic,1.2 TCe Energy,Red,2017,Van,Teilleder,56011,132,1,0,0,1,33
BY41570,13690,Seat,Leon,1.8 TSI,White,2016,Kombi,Alcantara,52048,180,1,0,0,1,20
SY72972,9248,Renault,Captur,1.2 TCe Energy,White,2017,SUV,Stoff,97424,118,1,0,0,1,3
MU31690,13349,BMW,1er,118d,White,2015,Limousine,Stoff,83107,150,0,1,1,0,6
GS77074,8837,Dacia,Sandero II,0.9 TCe,Blue,2019,Limousine,Stoff,51985,90,1,0,1,0,5
LJ36098,12952,Nissan,Qashqai,1.6,Black,2015,SUV,Stoff,71582,163,1,0,0,1,66
JN07993,24197,BMW,3er,320d GT,Black,2018,Limousine,Leder,69189,190,0,1,1,0,56
DW15229,15521,Audi,A4,2.0 TDI,Silver,2015,Limousine,Stoff,55827,150,0,1,0,1,53
BZ81638,16044,Skoda,Octavia,2.0 TDI,Gray,2015,Kombi,Stoff,88342,185,0,1,1,0,33
DT50314,16870,Volkswagen,Golf VII,1.4 TSI,Black,2017,Limousine,Alcantara,80309,150,1,0,1,0,13
AE03308,8180,Volkswagen,Polo,1.2 TSI,Brown,2016,Limousine,Stoff,62170,90,1,0,0,1,33
FU66077,17589,Skoda,Fabia,1.0 TSI,Gray,2022,Limousine,Stoff,10962,110,1,0,1,0,46
GN00850,10437,Audi,A1,1.4 TFSI,Red,2014,Limousine,Stoff,85953,122,1,0,0,1,52
GH10958,21287,Audi,Q2,1.4 TFSI ACT,Yellow,2017,SUV,Teilleder,59296,150,1,0,1,0,88
MA81450,11245,Dacia,Dokker,1.2 TCe,Gray,2018,Van,Stoff,56877,115,1,0,0,1,17
