id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,damages,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_online_to_reserve_
YJ25614,19390.0,April,116.6,1.686,6.9,2.36,DE,0,Mercedes-Benz,B-Klasse,B 180 CDI,Silver,2017,Van,Stoff,4,33384,110,Diesel,automatic,0,0,104,5,2,0,1,20.16995932597327,4.833236490412551,0.9976757699012202,39
FP60182,14890.0,May,116.5,1.632,6.8,2.34,DE,0,Renault,Captur,1.2 TCe Energy,Gray,2016,SUV,Leder,5,54778,120,Benzin,automatic,0,6,127,5,1,0,0,19.620833333333334,4.697222222222222,0.9302777777777778,42
KT69260,19950.0,February,115.2,1.813,7.0,2.37,DE,0,Seat,Arona,1.5 TSI ACT,Gray,2019,SUV,Teilleder,4,50973,150,Benzin,manual,0,0,131,5,1,0,0,23.243038844963905,6.263320728772774,0.9532485390168443,32
DN83258,24390.0,February,115.2,1.813,7.0,2.37,DE,0,Volkswagen,Touran,1.4 TSI,Gray,2018,Van,Alcantara,5,103501,150,Benzin,automatic,5,9,127,5,1,0,0,23.243038844963905,6.263320728772774,0.9532485390168443,36
VW52520,14250.0,January,114.3,1.853,7.4,2.19,DE,0,Kia,Soul,1.6 GDI,White,2015,Van,Stoff,6,45458,132,Benzin,manual,3,3,153,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,35
KE95874,13390.0,February,115.2,1.813,7.0,2.37,HU,0,Opel,Astra K,1.4 SIDI Turbo,Black,2017,Kombi,Stoff,5,75963,150,Benzin,manual,2,4,130,5,2,0,1,23.243038844963905,6.263320728772774,0.9532485390168443,20
JW87212,18990.0,January,114.3,1.853,7.4,2.19,DE,0,Audi,A3 Limousine,1.4 TFSI,Black,2015,Limousine,Stoff,4,92948,150,Benzin,automatic,1,1,110,5,2,0,1,23.331088362068964,6.615571120689655,0.9832974137931034,15
GW71149,10890.0,January,114.3,1.853,7.4,2.19,DE,1,Fiat,500,1.2,White,2016,Limousine,Teilleder,4,18509,70,Benzin,manual,6,10,115,4,2,1,0,23.331088362068964,6.615571120689655,0.9832974137931034,20
XL88499,7650.0,January,114.3,1.853,7.4,2.19,DE,0,Fiat,Punto,1.2,Silver,2016,Limousine,Stoff,5,60178,70,Benzin,manual,2,3,124,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,16
CB28192,37590.0,August,110.7,1.928,5.7,1.03,DE,0,Mercedes-Benz,GLA-Klasse,GLA 200,Black,2020,SUV,Teilleder,5,16528,163,Benzin,automatic,6,6,151,5,2,0,0,7.601013758146271,3.2173787110789283,0.499637943519189,125
XY78812,10990.0,September,112.7,2.168,6.2,1.8,DE,0,Renault,Clio,1.2 TCe,Gray,2013,Limousine,Stoff,5,36764,120,Benzin,automatic,20,32,120,5,3,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,2
TA49702,14690.0,January,114.3,1.853,7.4,2.19,DE,1,Renault,Megane,1.5 dCi,Black,2018,Kombi,Stoff,3,75628,110,Diesel,automatic,0,2,95,5,1,1,0,23.331088362068964,6.615571120689655,0.9832974137931034,3
UA18706,17480.0,January,114.3,1.853,7.4,2.19,DE,0,Hyundai,i30,1.4 T-GDI,White,2018,Limousine,Leder,5,86426,140,Benzin,automatic,9,12,125,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,1
FD96903,14990.0,December,113.2,1.905,7.5,2.08,DE,0,Seat,Leon,1.4 TSI,Gray,2015,Limousine,Teilleder,4,87995,150,Benzin,manual,4,5,109,5,2,1,0,17.023509452254,4.901841977702375,0.7445467765390208,19
CB96089,20880.0,October,113.5,2.014,6.4,2.19,DE,0,Skoda,Octavia,2.0 TDI,Black,2017,Kombi,Teilleder,4,40598,150,Diesel,automatic,9,9,119,5,2,1,1,13.104294478527608,4.155946962200673,0.6269542845834158,59
MU38372,6410.0,February,115.2,1.813,7.0,2.37,DE,0,Opel,Adam,1.2,Black,2013,Limousine,Stoff,5,118887,70,Benzin,manual,9,12,124,4,4,0,1,23.243038844963905,6.263320728772774,0.9532485390168443,8
ME47273,27990.0,April,116.6,1.686,6.9,2.36,DE,1,Volkswagen,Caddy,2.0 TDI,Red,2020,Van,Stoff,4,21471,102,Diesel,manual,1,1,128,5,1,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,52
ZT32151,17400.0,January,114.3,1.853,7.4,2.19,DE,0,Kia,Rio,1.4,White,2019,Limousine,Stoff,6,20091,100,Benzin,automatic,0,0,154,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,12
LR98805,14490.0,January,114.3,1.853,7.4,2.19,DE,0,Skoda,Yeti,2.0 TDI,Gray,2015,SUV,Stoff,5,89937,140,Diesel,manual,17,10,134,5,1,0,1,23.331088362068964,6.615571120689655,0.9832974137931034,30
TS70521,44690.0,March,116.1,1.743,7.6,2.38,DE,0,Volkswagen,T6 Multivan,2.0 TDI,Blue,2018,Bus,Leder,6,74593,150,Diesel,automatic,5,4,227,7,2,1,1,23.247566515249837,6.190136275146009,1.164828033744322,2
XH70299,15990.0,January,114.3,1.853,7.4,2.19,DK,0,Volkswagen,Golf VII,1.4 TSI,Black,2017,Kombi,Stoff,5,106533,125,Benzin,automatic,1,4,118,5,1,0,1,23.331088362068964,6.615571120689655,0.9832974137931034,20
UH10543,9460.0,January,114.3,1.853,7.4,2.19,DE,0,Seat,Leon,1.2 TSI,White,2015,Coupe,Alcantara,5,102614,110,Benzin,manual,8,13,114,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,1
PK46714,24900.0,March,116.1,1.743,7.6,2.38,DE,0,Mercedes-Benz,C-Klasse,C 180 CGI,Blue,2018,Limousine,Teilleder,5,57428,155,Benzin,automatic,13,10,132,5,2,1,1,23.247566515249837,6.190136275146009,1.164828033744322,33
NW50804,28990.0,December,113.2,1.905,7.5,2.08,DE,0,Mercedes-Benz,E-Klasse,E 220 d,Gray,2016,Limousine,Teilleder,3,72621,195,Diesel,automatic,4,7,102,5,2,1,0,17.023509452254,4.901841977702375,0.7445467765390208,35
AP80405,18690.0,February,115.2,1.813,7.0,2.37,DE,0,Volkswagen,Passat,2.0 TDI,Gray,2016,Kombi,Alcantara,4,97566,150,Diesel,automatic,1,3,115,5,2,1,0,23.243038844963905,6.263320728772774,0.9532485390168443,1
YV81596,23140.0,March,116.1,1.743,7.6,2.38,DE,0,Audi,A1,30 TFSI,Red,2018,Kombi,Teilleder,4,40143,116,Benzin,automatic,1,1,138,5,3,0,1,23.247566515249837,6.190136275146009,1.164828033744322,36
CY62456,9090.0,March,116.1,1.743,7.6,2.38,DE,0,Renault,Twingo,1.0 SCe,Red,2017,Limousine,Stoff,4,31139,70,Benzin,manual,0,0,95,4,3,1,0,23.247566515249837,6.190136275146009,1.164828033744322,22
CL49180,11900.0,March,116.1,1.743,7.6,2.38,DE,0,Toyota,Yaris,1.5 Hybrid,Black,2014,Limousine,Stoff,3,97105,75,Hybrid,automatic,13,9,79,5,2,1,1,23.247566515249837,6.190136275146009,1.164828033744322,41
YP82121,17990.0,February,115.2,1.813,7.0,2.37,DE,0,Hyundai,Tucson,1.7 CRDi,White,2016,SUV,Stoff,4,14198,115,Diesel,manual,15,25,119,5,2,1,0,23.243038844963905,6.263320728772774,0.9532485390168443,64
KK75880,16990.0,September,112.7,2.168,6.2,1.8,CZ,0,Volkswagen,Polo,1.0 TSI,Black,2018,Limousine,Stoff,4,23684,115,Benzin,manual,2,1,124,5,3,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,85
AY96769,17990.0,April,116.6,1.686,6.9,2.36,DE,0,BMW,X1,sDrive 20i,Brown,2015,SUV,Teilleder,6,92190,185,Benzin,automatic,1,5,160,5,3,0,1,20.16995932597327,4.833236490412551,0.9976757699012202,15
ST20332,16150.0,April,116.6,1.686,6.9,2.36,DE,0,Renault,Talisman,1.6 dCi Energy,Gray,2017,Kombi,Teilleder,4,94814,130,Diesel,manual,11,15,108,5,2,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,22
XC49511,24280.0,April,116.6,1.686,6.9,2.36,DE,1,Mazda,CX-5,2.2 Turbodiesel,Black,2018,SUV,Leder,5,103788,184,Diesel,automatic,0,1,186,5,1,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,22
PS41357,21590.0,November,113.7,2.118,6.7,2.07,DE,0,Ford,Kuga,1.5 EcoBoost,Gray,2018,SUV,Teilleder,7,24313,175,Benzin,automatic,0,0,230,5,2,0,0,15.36795655125594,4.933242815116542,0.7361393980538583,26
SK37725,13290.0,June,116.8,1.576,6.7,2.38,DE,0,Opel,Astra K,1.4 SIDI Turbo,Green,2017,Kombi,Teilleder,5,116556,150,Benzin,automatic,2,7,128,5,3,1,1,15.022244691607684,3.7353387259858444,0.6638018200202225,12
GJ03755,16250.0,February,115.2,1.813,7.0,2.37,DE,0,Volkswagen,Golf VII,1.4 TSI,Black,2014,Limousine,Teilleder,5,76137,140,Benzin,automatic,14,10,116,5,3,1,0,23.243038844963905,6.263320728772774,0.9532485390168443,9
AN50336,13600.0,May,116.5,1.632,6.8,2.34,DE,0,Fiat,Tipo,1.4 Turbo,Silver,2017,Kombi,Stoff,6,42991,120,Benzin,manual,0,3,139,5,2,1,0,19.620833333333334,4.697222222222222,0.9302777777777778,46
EW33740,15290.0,March,116.1,1.743,7.6,2.38,DK,0,Volkswagen,Caddy,1.6 TDI,Black,2014,Kombi,Stoff,5,92238,102,Diesel,manual,1,1,136,5,1,0,0,23.247566515249837,6.190136275146009,1.164828033744322,12
ZL94116,9900.0,March,116.1,1.743,7.6,2.38,DE,0,Peugeot,108,1.2 VTi,Gray,2017,Limousine,Stoff,4,52912,82,Benzin,manual,5,6,99,4,4,1,0,23.247566515249837,6.190136275146009,1.164828033744322,92
VS72101,19990.0,March,116.1,1.743,7.6,2.38,DE,0,BMW,5er,520i,Black,2015,Kombi,Stoff,6,117812,185,Benzin,automatic,0,0,152,5,2,1,1,23.247566515249837,6.190136275146009,1.164828033744322,39
AN27522,24990.0,March,116.1,1.743,7.6,2.38,DE,0,Mercedes-Benz,C-Klasse,C 200,Black,2015,Kombi,Leder,5,74941,185,Benzin,automatic,0,0,138,5,2,0,0,23.247566515249837,6.190136275146009,1.164828033744322,38
XW73042,11090.0,January,114.3,1.853,7.4,2.19,DE,0,Seat,Leon,1.2 TSI,Black,2015,Limousine,Stoff,4,98020,110,Benzin,manual,1,1,114,5,2,0,1,23.331088362068964,6.615571120689655,0.9832974137931034,15
EL62807,12690.0,January,114.3,1.853,7.4,2.19,DE,0,Skoda,Fabia,1.2 TSI,White,2017,Kombi,Stoff,4,32330,90,Benzin,manual,7,7,107,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,11
