company,cars_bought,type_buyer,frequency,recency,monetary,share_low_hp,share_medium_hp,share_high_hp,share_old_,share_m_age,share_recent_,share_low_mileage,share_medium_mileage,share_high_mileage,share_less_5k,share_5k_10k_,share_over_10k_,profit_per_car
LIGNIER AUTOMOBILES,1,Small_buyer,1,8,3,1,0,0,0,1,0,1,0,0,0,1,0,-1992
TIZIANO LORENZI S.R.L.,19,Medium_buyer,5,3,10,0.578947368,0.421052632,0,0,0.315789474,0.684210526,1,0,0,0,0,1,709.5263158
"Flott Autodienst, Inh. Fikret Göbül",14,Small_buyer,4,7,7,1,0,0,0.357142857,0.642857143,0,1,0,0,0.714285714,0.285714286,0,581.2857143
"Autogalerie M&A GbR, Mehmet Ali Karakaya und Ahmet Karakaya",7,Small_buyer,3,2,9,0.285714286,0.428571429,0.285714286,0,0.714285714,0.285714286,0.714285714,0.285714286,0,0,0,1,1315.857143
OÜ MESSAUTO,1,Small_buyer,1,10,1,1,0,0,1,0,0,1,0,0,1,0,0,-84
Grzegorz Dul D&G CARS,2,Small_buyer,1,10,2,1,0,0,0,1,0,0,0,1,1,0,0,660
LUKA TRANS 1 EOOD,10,Small_buyer,4,4,5,0.8,0.2,0,0.3,0.7,0,0,0,1,1,0,0,514.8
APN Solutions s.r.o.,1,Small_buyer,1,5,2,0,0,1,1,0,0,0,0,1,1,0,0,726
"Remesloservis, družstvo",3,Small_buyer,2,7,5,0.666666667,0.333333333,0,0,1,0,0,1,0,0,0.666666667,0.333333333,992
JOSE MARIA DUARTE DE QUEIROS,2,Small_buyer,1,10,3,1,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,533
TRUST CAR S.R.L.,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,1,0,1,0,0,-316
PSALTOU ANTONIOS ATHANASIOS,6,Small_buyer,3,8,6,0.833333333,0.166666667,0,0,0.833333333,0.166666667,0.166666667,0.833333333,0,0.333333333,0.666666667,0,782.3333333
Autobedrijf Henri Dijk V.O.F.,1,Small_buyer,1,10,3,1,0,0,0,1,0,0,1,0,0,1,0,814
KARABELAS NIKOLAOS KONSTANTINOS||KARAVELAS GROUP OF COMPANIES,1,Small_buyer,1,10,3,1,0,0,0,0,1,1,0,0,0,1,0,499
"Erich Automobile, Inh. Georg Erich",42,Medium_buyer,7,2,9,0.642857143,0.30952381,0.047619048,0.523809524,0.476190476,0,0.095238095,0.904761905,0,0.80952381,0.166666667,0.023809524,322.4761905
