dates,sales,unique_buyers
2020-04-30,290,239
2020-04-29,203,173
2020-04-28,215,175
2020-04-27,181,158
2020-04-26,5,5
2020-04-25,136,110
2020-04-24,136,113
2020-04-23,200,173
2020-04-22,132,110
2020-04-21,184,160
2020-04-20,192,159
2020-04-19,2,2
2020-04-18,106,87
2020-04-17,137,118
2020-04-16,185,140
2020-04-15,123,112
2020-04-14,124,100
2020-04-13,100,88
2020-04-12,4,4
2020-04-11,110,91
2020-04-10,82,65
2020-04-09,124,107
2020-04-08,92,81
2020-04-07,113,100
2020-04-06,109,97
2020-04-05,1,1
2020-04-04,68,60
2020-04-03,122,100
2020-04-02,115,96
2020-04-01,105,92
2020-03-31,103,94
2020-03-30,142,108
2020-03-29,4,4
2020-03-28,68,63
2020-03-27,143,118
2020-03-26,139,106
2020-03-25,109,96
2020-03-24,128,103
2020-03-23,114,94
2020-03-22,6,6
2020-03-21,109,91
2020-03-20,215,183
2020-03-19,268,226
2020-03-18,292,252
2020-03-17,396,335
2020-03-16,440,366
2020-03-15,6,6
2020-03-14,400,341
2020-03-13,519,424
2020-03-12,556,456
2020-03-11,586,468
2020-03-10,744,593
2020-03-09,718,601
2020-03-08,21,20
2020-03-07,559,419
2020-03-06,671,571
2020-03-05,707,554
2020-03-04,713,598
2020-03-03,721,571
2020-03-02,785,627
2020-03-01,16,14
2020-02-29,644,487
2020-02-28,769,615
2020-02-27,772,602
2020-02-26,730,579
2020-02-25,768,611
2020-02-24,746,588
2020-02-23,22,18
2020-02-22,564,459
2020-02-21,760,569
2020-02-20,724,595
2020-02-19,722,588
2020-02-18,754,623
2020-02-17,806,618
2020-02-16,23,21
2020-02-15,596,471
2020-02-14,687,573
2020-02-13,715,569
2020-02-12,691,569
2020-02-11,747,594
2020-02-10,830,663
2020-02-09,26,22
2020-02-08,596,457
2020-02-07,768,581
2020-02-06,693,541
2020-02-05,696,558
2020-02-04,764,606
2020-02-03,782,635
2020-02-02,19,18
2020-02-01,585,448
2020-01-31,775,624
2020-01-30,725,587
2020-01-29,711,560
2020-01-28,807,637
2020-01-27,765,603
2020-01-26,12,12
2020-01-25,599,474
2020-01-24,680,562
2020-01-23,735,595
2020-01-22,785,616
2020-01-21,787,629
2020-01-20,843,654
2020-01-19,32,32
2020-01-18,550,431
2020-01-17,663,532
2020-01-16,703,570
2020-01-15,745,587
2020-01-14,737,589
2020-01-13,724,588
2020-01-12,30,29
2020-01-11,614,474
2020-01-10,743,601
2020-01-09,765,586
2020-01-08,652,515
2020-01-07,666,539
2020-01-06,652,508
2020-01-05,21,19
2020-01-04,509,409
2020-01-03,573,446
2020-01-02,573,442
2020-01-01,178,134
2019-12-31,434,339
2019-12-30,653,514
2019-12-29,16,16
2019-12-28,435,326
