dates,cars_sold_de,cars_online_de,avg_buyprice_de,bookmarks_de,opportunity_de
2022-04-10,25,3328,20542,1864,543
2022-04-11,58,3313,20515,1592,627
2022-04-12,52,3365,20452,1507,582
2022-04-13,48,3440,20411,1553,553
2022-04-14,53,3506,20319,1496,495
2022-04-15,25,3513,20256,2010,514
2022-04-16,38,3452,20296,1400,435
2022-04-17,20,3427,20331,1724,467
2022-04-18,27,3362,20366,2014,562
2022-04-19,49,3403,20414,1831,718
2022-04-20,46,3478,20248,1819,633
2022-04-21,58,3547,20113,1829,635
2022-04-22,51,3597,20043,1999,671
2022-04-23,42,3597,19996,1812,538
2022-04-24,27,3569,20012,2080,576
2022-04-25,76,3490,20046,1910,666
2022-04-26,74,3579,20027,1773,666
2022-04-27,61,3599,20010,1447,604
2022-04-28,47,3647,19948,1566,595
2022-04-29,56,3696,19889,1525,582
2022-04-30,44,3702,19800,1530,483
2022-05-01,21,3690,19803,2223,480
2022-05-02,57,3648,19811,1708,603
2022-05-03,54,3663,19753,1709,582
2022-05-04,64,3748,19645,2089,641
2022-05-05,55,3804,19556,1950,664
2022-05-06,59,3846,19456,1504,546
2022-05-07,45,3835,19446,1573,522
2022-05-08,33,3783,19495,2180,487
2022-05-09,70,3773,19471,1822,636
2022-05-10,72,3801,19405,1594,604
2022-05-11,62,3832,19350,1786,563
2022-05-12,67,3876,19275,1814,545
2022-05-13,60,3926,19173,1600,549
2022-05-14,36,3936,19112,1546,476
2022-05-15,41,3896,19093,1688,471
2022-05-16,65,3850,19049,1864,668
2022-05-17,63,3879,19015,1893,487
2022-05-18,59,3880,18976,1788,702
2022-05-19,61,3941,18800,1907,584
2022-05-20,54,4054,18718,1659,561
2022-05-21,36,4026,18612,1621,499
2022-05-22,19,4029,18602,2146,442
2022-05-23,69,4004,18597,1554,615
2022-05-24,60,4061,18542,2114,626
2022-05-25,40,4104,18437,1567,585
2022-05-26,33,4021,18291,1671,492
2022-05-27,71,4035,18323,1659,566
2022-05-28,37,4020,18251,1823,427
2022-05-29,35,3980,18271,1907,489
2022-05-30,64,3914,18258,1826,616
2022-05-31,64,3905,18208,2040,606
2022-06-01,61,3925,18090,1819,601
2022-06-02,58,3912,18022,1864,610
2022-06-03,45,3994,17961,1906,528
2022-06-04,28,4021,17885,1682,481
2022-06-05,21,4015,17851,1828,433
2022-06-06,18,3983,17882,2196,499
2022-06-07,79,3924,17893,1621,641
2022-06-08,66,3914,17749,2017,620
2022-06-09,79,4028,17656,2000,668
2022-06-10,47,4186,17600,1686,575
2022-06-11,48,4169,17569,1515,482
2022-06-12,27,4136,17577,1967,451
2022-06-13,76,4182,17565,2037,585
2022-06-14,66,4146,17503,1519,671
2022-06-15,64,4225,17408,1615,573
2022-06-16,48,4238,17334,2032,593
2022-06-17,62,4263,17266,1672,625
2022-06-18,39,4235,17292,1587,430
2022-06-19,35,4203,17317,1907,566
2022-06-20,77,4177,17346,1871,769
2022-06-21,70,4230,17295,2294,711
2022-06-22,64,4243,17287,2046,701
2022-06-23,63,4290,17247,1711,664
2022-06-24,57,4362,17220,1937,667
2022-06-25,47,4380,17209,1805,572
2022-06-26,32,4336,17199,2101,608
2022-06-27,75,4326,17193,1912,759
2022-06-28,72,4280,17183,2254,751
2022-06-29,85,4301,17111,2130,699
2022-06-30,59,4340,17053,1901,704
2022-07-01,66,4412,17038,1767,609
2022-07-02,47,4419,17016,1787,531
2022-07-03,36,4383,17036,1848,564
2022-07-04,89,4279,17042,1833,677
2022-07-05,68,4309,16973,1861,681
2022-07-06,59,4352,16972,2027,634
2022-07-07,73,4398,16982,2235,688
2022-07-08,65,4437,16996,1321,562
2022-07-09,51,4473,16963,1903,497
2022-07-10,39,4465,16999,2185,517
2022-07-11,80,4379,16998,1758,668
2022-07-12,52,4403,16938,2003,670
2022-07-13,84,4396,16948,2034,734
2022-07-14,60,4501,16991,1940,643
2022-07-15,51,4534,16967,1715,612
2022-07-16,50,4613,16918,1352,523
2022-07-17,34,4611,16922,1956,515
2022-07-18,66,4544,16957,1844,711
2022-07-19,61,4487,16899,1902,609
2022-07-20,54,4540,16904,1649,639
2022-07-21,65,4544,16903,1455,645
2022-07-22,57,4637,16894,1297,601
2022-07-23,44,4670,16842,1788,595
2022-07-24,33,4669,16835,1546,582
2022-07-25,79,4589,16886,1944,783
2022-07-26,71,4540,16733,2067,855
2022-07-27,74,4575,16747,1858,805
2022-07-28,69,4555,16743,1536,714
2022-07-29,76,4592,16732,1393,740
2022-07-30,45,4704,16699,1782,606
2022-07-31,40,4670,16736,1931,644
2022-08-01,76,4599,16779,1830,725
2022-08-02,80,4562,16690,1759,761
2022-08-03,81,4552,16657,1761,732
2022-08-04,86,4544,16603,1633,670
2022-08-05,86,4526,16629,1472,636
2022-08-06,43,4560,16581,1542,534
2022-08-07,40,4517,16586,1693,579
2022-08-08,89,4420,16620,1599,759
2022-08-09,82,4405,16632,1774,727
2022-08-10,78,4410,16655,1890,742
2022-08-11,71,4413,16645,1629,736
2022-08-12,73,4345,16644,1463,673
2022-08-13,46,4422,16595,1543,610
2022-08-14,28,4446,16610,1548,609
2022-08-15,98,4322,16639,1781,789
2022-08-16,84,4278,16573,1644,773
2022-08-17,78,4258,16580,1614,795
2022-08-18,76,4242,16591,1477,762
2022-08-19,67,4251,16578,1482,738
2022-08-20,46,4253,16564,1436,618
2022-08-21,33,4212,16599,1566,612
2022-08-22,84,4101,16608,1553,747
2022-08-23,66,4087,16530,1810,780
2022-08-24,85,4182,16536,1611,808
2022-08-25,69,4147,16525,1391,708
2022-08-26,70,4158,16524,1689,744
2022-08-27,47,4176,16533,1535,684
2022-08-28,35,4145,16573,1680,658
2022-08-29,69,4099,16614,1866,800
2022-08-30,78,4026,16630,1691,799
2022-08-31,71,4041,16652,1737,782
2022-09-01,66,4146,16635,1714,711
2022-09-02,77,4164,16672,1618,740
2022-09-03,48,4142,16648,1667,665
2022-09-04,39,4103,16688,1711,642
2022-09-05,85,4035,16735,1837,839
2022-09-06,75,4028,16670,1734,771
2022-09-07,81,4024,16741,1669,774
2022-09-08,67,4031,16795,1618,698
2022-09-09,66,3980,16855,1776,698
2022-09-10,51,3932,16906,1637,667
2022-09-11,31,3901,16886,1882,586
2022-09-12,91,3778,16927,1668,827
2022-09-13,78,3703,17033,1836,756
2022-09-14,86,3812,17066,1721,745
2022-09-15,62,3793,17111,1728,724
2022-09-16,75,3753,17167,1646,757
2022-09-17,47,3735,17202,1526,641
2022-09-18,34,3681,17217,2034,589
2022-09-19,95,3607,17232,1543,870
2022-09-20,86,3479,17288,1688,764
2022-09-21,66,3373,17283,1661,653
2022-09-22,85,3450,17324,1634,700
2022-09-23,66,3475,17337,1662,661
2022-09-24,69,3436,17389,1712,583
2022-09-25,36,3409,17442,1898,556
2022-09-26,97,3329,17535,1586,737
2022-09-27,76,3322,17612,1562,746
2022-09-28,88,3262,17661,1963,701
2022-09-29,65,3238,17696,2122,675
2022-09-30,100,3182,17790,1960,612
2022-10-01,52,3141,17798,1790,488
2022-10-02,30,3107,17828,1986,469
2022-10-03,36,3047,17887,2031,524
2022-10-04,58,2967,17896,1983,716
2022-10-05,63,2932,17871,2172,678
2022-10-06,91,2851,17910,2103,667
2022-10-07,64,2821,17946,2200,595
2022-10-08,43,2804,17954,2200,523
2022-10-09,29,2784,17985,2200,541
2022-10-10,70,2741,18066,2200,720
2022-10-11,81,2702,18095,2200,725
2022-10-12,62,2693,18131,2760,724
2022-10-13,72,2820,18210,2733,715
2022-10-14,69,2822,18146,2119,686
2022-10-15,47,2841,18175,2136,634
2022-10-16,32,2818,18182,2070,587
2022-10-17,75,2717,18275,2117,793
2022-10-18,78,2711,18308,1896,818
2022-10-19,68,2709,18317,2000,734
2022-10-20,69,2726,18282,2083,763
2022-10-21,81,2706,18284,2246,755
2022-10-22,53,2732,18306,2388,658
2022-10-23,33,2704,18352,2764,631
2022-10-24,71,2591,18482,2148,800
2022-10-25,62,2561,18472,1983,726
2022-10-26,63,2625,18331,1919,779
2022-10-27,59,2611,18349,2014,715
2022-10-28,76,2582,18423,1939,688
2022-10-29,53,2570,18410,1889,583
2022-10-30,29,2562,18399,2012,641
2022-10-31,66,2483,18495,2310,769
2022-11-01,66,2393,18534,2386,728
2022-11-02,67,2328,18493,2305,770
2022-11-03,69,2294,18489,2017,734
2022-11-04,71,2388,18335,2028,780
2022-11-05,55,2397,18354,1924,644
2022-11-06,30,2370,18385,2295,552
2022-11-07,82,2281,18477,2007,834
2022-11-08,88,2249,18426,1894,764
2022-11-09,73,2250,18447,2057,781
2022-11-10,60,2245,18410,1787,732
2022-11-11,64,2251,18266,1852,717
2022-11-12,49,2264,18208,2074,641
2022-11-13,24,2243,18277,2135,665
2022-11-14,62,2223,18329,2431,815
2022-11-15,57,2238,18381,2178,843
2022-11-16,63,2264,18415,2439,812
2022-11-17,55,2271,18365,2167,751
2022-11-18,69,2243,18280,1756,713
2022-11-19,56,2231,18299,1921,646
2022-11-20,28,2226,18337,2113,614
2022-11-21,76,2131,18471,1784,811
2022-11-22,70,2109,18360,2024,743
2022-11-23,65,2131,18340,2333,781
2022-11-24,58,2135,18256,2471,729
2022-11-25,65,2235,18145,1997,638
2022-11-26,32,2287,18042,2099,584
2022-11-27,27,2258,18118,1958,505
2022-11-28,76,2194,18163,2181,803
2022-11-29,79,2179,18144,2178,759
2022-11-30,80,2160,18110,2139,741
2022-12-01,57,2185,18020,2269,664
2022-12-02,57,2187,18003,2094,690
2022-12-03,45,2221,17894,2277,596
2022-12-04,33,2208,17944,2348,567
2022-12-05,76,2105,18074,2241,834
