company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_cluster
Mercedes-Benz Theo Bähr GmbH,2,Small_buyer,1,10,7,170,2019,35207,27429,100,0,0,100,0,0,750
H3 meine Autowerkstatt GmbH & Co. KG,4,Small_buyer,2,4,6,133,2015,116423,11525,75,25,0,75,25,0,750
"Automobile Böntgen, Inh. Stefan Siebelt",1,Small_buyer,1,10,4,152,2017,39050,18648,0,100,0,0,100,0,750
Budai Auto Trader KFT,2,Small_buyer,1,8,2,170,2002,239719,1728,0,0,100,0,100,0,375
BEST AUTOSERV MDM S.R.L.,2,Small_buyer,1,10,3,112,2014,201267,4664,0,0,100,50,50,0,750
Assistance Drive Car s.r.o.,1,Small_buyer,1,10,2,272,2006,260124,4200,0,100,0,100,0,0,-750
Eltex Slovakia s.r.o.,8,Small_buyer,3,6,8,158,2015,185508,11611,62,0,37,100,0,0,1250
MARATON CAR AG SRL,1,Small_buyer,1,9,2,150,2011,283430,4435,0,0,100,100,0,0,750
SYRROS GEORGIOS KONSTANTINOS,2,Small_buyer,1,6,4,102,2015,102150,5207,0,0,100,0,100,0,1250
Takete s.r.o.,18,Medium_buyer,5,7,3,147,1999,204227,513,0,44,55,0,100,0,125
"Örnek Automobile, Inh. Serkan Örnek",1,Small_buyer,1,8,3,205,2011,312195,6947,0,100,0,100,0,0,375
SAS JEAN TUNESI SAS,3,Small_buyer,2,8,7,180,2019,38783,20760,33,33,33,0,66,33,750
MANUEL JOÃO PEREIRA CHALETA,1,Small_buyer,1,8,3,102,2013,77206,7100,0,0,100,0,100,0,375
POLNIKBIS Tomasz Nowak,5,Small_buyer,3,8,6,127,2010,148557,7787,0,40,60,0,60,40,750
Arba car Barbara Synowiec,2,Small_buyer,1,8,3,128,2009,169671,4150,0,0,100,50,50,0,750
Autohaus Worms GmbH,11,Small_buyer,4,8,10,210,2018,33894,39211,36,54,9,18,72,9,1500
van der Wal en Zonen V.O.F.,32,Medium_buyer,7,8,11,139,2017,47410,17722,34,50,15,0,100,0,750
TODESCHINI FRANCO & C. S.N.C.,1,Small_buyer,1,10,5,150,2018,105885,20271,0,0,100,100,0,0,-1500
Louwman Occasioncenter B.V.,3,Small_buyer,2,9,8,204,2018,78017,32727,0,100,0,0,0,100,1500
EXPRESS AUTO CONCEPT C.F SRL,4,Small_buyer,2,10,4,133,2010,228808,4432,0,0,100,75,25,0,750
RD car s.r.o.,9,Small_buyer,3,5,7,114,2011,165288,5777,11,0,88,22,66,11,750
Bender Carparts GmbH,2,Small_buyer,1,8,1,97,1999,153112,200,0,50,50,0,100,0,125
DUKH YURII,1,Small_buyer,1,8,1,75,2002,181994,889,0,0,100,0,100,0,375
BELGUS Ewelina Tęsna,1,Small_buyer,1,9,2,135,2007,283218,1749,0,0,100,100,0,0,375
"Car-Room Automobilagenture/Autowelt Münster, Inh. Mazlum Gülec",1,Small_buyer,1,4,2,150,2005,122211,4696,0,0,100,0,100,0,750
Auto Service Kerschoten,11,Small_buyer,4,1,5,88,2009,161949,2373,0,0,100,0,100,0,375
UAB Alnemeta,1,Small_buyer,1,10,3,235,2007,267879,7900,0,100,0,100,0,0,750
Gebrauchtwagenhaus Wittlich OHG,1,Small_buyer,1,10,5,77,2021,1232,30124,0,100,0,0,0,100,1250
A.D.R. MOTORSPORT S.A.S. DI A. DAZZAN & C.,2,Small_buyer,1,9,9,335,2007,98639,87000,50,0,50,0,100,0,1500
JIM AUTO D.O.O.,4,Small_buyer,2,7,4,97,2012,141788,4954,0,0,100,75,25,0,750
CASA,1,Small_buyer,1,10,1,55,2007,79736,608,0,0,100,0,100,0,125
