op_id,country,success,time_to_close,views,impressions
OP02304093,DE,0,65,6,0
OP02326087,FR,0,39,1,0
OP02370299,DE,0,75,1,0
OP02414020,AT,1,22,9,2
OP02395755,DE,1,161,1,0
OP02355908,IT,1,22,4,2
OP02435105,DE,0,4,7,0
OP02386389,SE,1,3,1,0
OP02349149,ES,0,248,1,0
OP02365286,ES,0,32,2,0
OP02388826,DE,0,198,52,4
OP02275059,IT,1,56,3,0
OP02451882,ES,0,32,3,2
OP02335310,AT,0,32,2,0
OP02417909,ES,0,95,2,2
OP02374272,IT,1,40,5,0
OP02282100,PL,0,44,3,0
OP02419260,ES,1,45,4,0
OP02306089,DE,1,195,6,0
OP02362701,IT,0,675,2,0
OP02378556,DE,0,43,3,0
OP02422214,DE,0,138,6,3
OP02334507,FR,0,115,3,4
OP02374405,FR,0,128,19,8
OP02400860,DE,0,385,8,39
OP02378668,BE,0,162,1,1
OP02422614,IT,0,70,1,0
OP02456452,IT,0,48,1,1
OP02461636,FR,0,4,2,3
OP02406374,FR,0,20,3,0
OP02370000,FR,0,100,1,0
OP02357314,DE,0,150,1,0
OP02465696,ES,1,76,1,0
OP02398674,ES,0,125,1,0
OP02423756,ES,0,2,1,0
OP02299335,DE,0,187,6,10
