id,price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
FU78858,price_20_25k,Ford,Grand C-Max,1.5 EcoBoost,Brown,20-30k,horsepower_150_200hp,2017,Benzin,Gear type automatic,Van,Teilleder,fuel_consumption_4_,sold_80_100d
YX83504,price_15_20k,Skoda,Superb,2.0 TDI,Gray,100k+,horsepower_150_200hp,2015,Diesel,Gear type automatic,Kombi,Stoff,fuel_consumption_3_,sold_15_25d
SK61961,price_10_15k,Dacia,Sandero II,1.5 dCi,Black,70-80k,horsepower_0_100hp,2017,Diesel,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_15_25d
TL01198,price_15_20k,BMW,2er,218i Active Tourer,Red,30-40k,horsepower_100_150hp,2015,Benzin,Gear type automatic,Van,Stoff,fuel_consumption_2_,sold_0-7d
XS98658,price_20_25k,Ford,S-Max,2.0 TDCi,Black,70-80k,horsepower_150_200hp,2016,Diesel,Gear type automatic,Van,Stoff,fuel_consumption_2_,sold_7_15d
XU55163,price_25_30k,Opel,Mokka,1.2 Turbo,White,10-20k,horsepower_100_150hp,2022,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_2_,sold_over100d_
WN17071,price_over30k,Jeep,Grand Cherokee,3.0 CRD,Black,90-100k,horsepower_200_250hp,2016,Diesel,Gear type automatic,SUV,Leder,fuel_consumption_4_,sold_50_65d
HN01134,price_over30k,Volkswagen,Caddy,2.0 TDI,Green,0-10k,horsepower_100_150hp,2022,Diesel,Gear type automatic,Van,Teilleder,fuel_consumption_2_,sold_0-7d
KN40713,price_over30k,BMW,1er,120d,Black,20-30k,horsepower_150_200hp,2020,Diesel,Gear type automatic,Limousine,Teilleder,fuel_consumption_2_,sold_80_100d
EH64869,price_10_15k,Mazda,3,2.2 Turbodiesel,Gray,80-90k,horsepower_100_150hp,2016,Diesel,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_15_25d
ZL90978,price_15_20k,Opel,Combo Life,1.5 CDTI,Black,50-60k,horsepower_100_150hp,2018,Diesel,Gear type manual,Van,Stoff,fuel_consumption_1_,sold_65_80d
YT86998,price_10_15k,Skoda,Fabia,1.2 TSI,Red,50-60k,horsepower_0_100hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_50_65d
LW22015,price_25_30k,Volkswagen,Touran,1.8 TSI,Blue,60-70k,horsepower_150_200hp,2016,Benzin,Gear type automatic,Van,Stoff,fuel_consumption_3_,sold_50_65d
GN01961,price_15_20k,Ford,Kuga,1.5 EcoBoost,Gray,50-60k,horsepower_100_150hp,2018,Benzin,Gear type manual,SUV,Stoff,fuel_consumption_3_,sold_15_25d
TT44759,price_10_15k,Volkswagen,Polo,1.0,White,10-20k,horsepower_0_100hp,2019,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_7_15d
RK16835,price_0_10k,Volkswagen,up!,1.0,Orange,50-60k,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_80_100d
ZM32148,price_0_10k,Opel,Karl,1.0,Black,30-40k,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_4_,sold_0-7d
TJ67492,price_20_25k,Audi,A4,2.0 TDI,White,70-80k,horsepower_100_150hp,2017,Diesel,Gear type automatic,Kombi,Stoff,fuel_consumption_1_,sold_25_35d
KT88504,price_10_15k,Volkswagen,Touran,1.4 TSI,Black,100k+,horsepower_100_150hp,2014,Benzin,Gear type automatic,Van,Stoff,fuel_consumption_4_,sold_7_15d
RM24206,price_0_10k,Opel,Adam,1.4,Gray,70-80k,horsepower_0_100hp,2014,Benzin,Gear type manual,Limousine,Teilleder,fuel_consumption_2_,sold_50_65d
HW78218,price_20_25k,Volkswagen,Passat,2.0 TDI,Black,50-60k,horsepower_100_150hp,2017,Diesel,Gear type automatic,Kombi,Stoff,fuel_consumption_1_,sold_80_100d
SW78147,price_25_30k,Volkswagen,Passat,1.8 TSI,Black,50-60k,horsepower_150_200hp,2017,Benzin,Gear type automatic,Kombi,Teilleder,fuel_consumption_3_,sold_7_15d
FE57045,price_0_10k,Volkswagen,up!,1.0 TSI,White,100k+,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_0-7d
