company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
HAKIM AMYAD (Shaf auto),2,Small_buyer,1,10,2,117,2003,276541,550,0,0.5,0.5,0,1,0,225
Autohaus Mommerskamp GmbH,6,Small_buyer,3,10,6,81,2017,50648,8086,0,0.166666667,0.833333333,0,1,0,813.1666667
EURL AUTOMOBILES D2F,5,Small_buyer,3,6,6,136,2004,60975,9096,0,0,1,0,1,0,849
Valdemar Junevič,1,Small_buyer,1,6,4,313,2013,198456,15200,0,1,0,1,0,0,1087
"famicar, Fadi Algharam",5,Small_buyer,3,6,4,127,2009,168461,3485,0.2,0,0.8,0,0.8,0.2,553
SONIA MIRIAM FERVENZA BERMUDEZ,1,Small_buyer,1,5,3,175,2007,181025,6334,0,0,1,0,1,0,334
"AraCars, Inh. Mecit Aras",4,Small_buyer,2,8,2,76,2004,166571,888,0,0,1,0,1,0,241.5
chartres auto,2,Small_buyer,1,6,4,120,2010,187420,6905,0,0,1,0,1,0,357.5
KARCZMARCZYK ŁUKASZ AUTO KOMIS QUATRO,2,Small_buyer,1,7,3,150,2012,184320,4681,0,0,1,1,0,0,647
VIP CHALLENGE UNIPESSOAL LDA,7,Small_buyer,3,8,9,239,2015,106415,21563,0.142857143,0.285714286,0.571428571,0.428571429,0.285714286,0.285714286,-262.1428571
"Bernd Nickel Automobile, Inh. Bernd Nickel",2,Small_buyer,1,6,4,103,2008,104603,5598,0,0,1,0,1,0,907
Next Auto GmbH,2,Small_buyer,1,10,7,315,2018,101596,35688,0,1,0,0.5,0,0.5,1643
"Piotr Słodyczka Firma Handlowo-Usługowa ""PIOMIS""",6,Small_buyer,3,6,4,110,2008,179654,2798,0,0,1,0.166666667,0.833333333,0,556.5
"Enzo Damiano Fahrzeughandel, Inh. Enzo Damiano",3,Small_buyer,2,4,5,117,2014,87274,10171,0,1,0,0,1,0,989.6666667
JUMIMOVIL SL,7,Small_buyer,3,7,7,177,2013,206516,9517,0.285714286,0.285714286,0.428571429,1,0,0,370
BECMARVAS UNIPESSOAL LDA,2,Small_buyer,1,3,4,102,2015,120531,8880,0,0,1,0,1,0,1094.5
Pbas-Automobile GbR,2,Small_buyer,1,3,3,96,2006,102064,3324,0,0,1,0,1,0,797
"Absolute Motors, Inh. Rafael Mondry",10,Small_buyer,4,1,9,171,2010,97884,12497,0.1,0.1,0.8,0.1,0.9,0,193.6
NEXTAUTO s.r.o.,12,Small_buyer,4,3,9,137,2014,141056,9834,0.166666667,0.166666667,0.666666667,0.583333333,0.416666667,0,883
Auto-Meyer GmbH & Co. KG.,10,Small_buyer,4,8,10,196,2018,82954,25937,0.5,0.3,0.2,0.5,0.4,0.1,1010.8
"Metropol Automobile, Inh. Niyazi Karabulut",38,Medium_buyer,7,2,8,111,2006,144792,2625,0.210526316,0.289473684,0.5,0.210526316,0.789473684,0,416.1842105
"AUTO LOVRIĆ, vl. Davor Lovrić",8,Small_buyer,3,8,6,106,2011,156469,6083,0,0,1,0.875,0.125,0,859
RZ Center Korlátolt Felelősségű Társaság,5,Small_buyer,3,3,2,72,2007,164165,738,0,0,1,0,1,0,147.4
DBG-INTERNATIONAL-CARS GBR,3,Small_buyer,2,9,3,95,2007,138516,3172,0.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333,547.3333333
AEM AUTO RULATE SRL,2,Small_buyer,1,6,3,267,2010,133006,4682,0,0.5,0.5,0,1,0,-186.5
PHU Maciej Snieg,1,Small_buyer,1,10,2,160,2011,205092,3903,0,1,0,0,1,0,-1122
Straume auto SIA,3,Small_buyer,2,7,4,198,2009,286443,4836,0,0.333333333,0.666666667,1,0,0,908.3333333
SAS G.H.V. - GROUPE PROCUREUR - FORD MAZDA - EVREUX,4,Small_buyer,2,3,8,193,2017,42656,24249,0,0,1,0.5,0.5,0,1680.25
"Baltic Cars import&export, SIA",26,Medium_buyer,6,6,10,235,2013,207000,16689,0,0.807692308,0.192307692,0.961538462,0.038461538,0,1077.461538
Mgr. Milan Krajčovič,3,Small_buyer,2,9,3,160,2007,307756,3236,0,0,1,1,0,0,344
AUTOBEDRIJF VAN DER LOCHT V.O.F.,1,Small_buyer,1,10,5,300,2019,18723,27497,0,1,0,0,0,1,0
NOMOS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2,Small_buyer,1,4,6,182,2019,75471,19690,0,1,0,1,0,0,390
AHS Autohaus Handels- und Service GmbH,1,Small_buyer,1,9,4,100,2018,48353,10471,0,0,1,0,1,0,824
NT Automobielen,1,Small_buyer,1,7,6,218,2020,19185,35150,1,0,0,0,0,1,1501
M GARAGE S.R.L. SEMPLIFICATA,13,Small_buyer,4,6,9,88,2016,58658,10348,0,0.307692308,0.692307692,0.076923077,0.615384615,0.307692308,892.5384615
KUPPELWIESER JULIAN,2,Small_buyer,1,7,5,167,2015,86742,15841,0.5,0,0.5,1,0,0,1051.5
BERTUCCO AUTO S.R.L.,1,Small_buyer,1,9,3,70,2017,11214,9752,0,0,1,0,1,0,-848
NJ Car Elite Korlátolt Felelősségű Társaság,9,Small_buyer,3,7,4,158,2007,187179,1980,0,0.222222222,0.777777778,0.333333333,0.666666667,0,310.1111111
D.IV.Export Import EOOD,1,Small_buyer,1,6,3,100,2014,138159,6008,0,0,1,0,1,0,1109
GROUPE CHOPARD - SOC AUTOMOBILE FRANCE ALPES - GAP - PEUGEOT,1,Small_buyer,1,9,4,110,2017,42133,11636,0,1,0,0,1,0,923
"""CHYNCAR"" Wojciech Chmielewski",10,Small_buyer,4,6,5,113,2006,167572,3485,0,0.1,0.9,0.1,0.9,0,538.3
Autohaus Emil GmbH,28,Medium_buyer,6,7,11,220,2015,113833,23597,0.428571429,0.571428571,0,0.964285714,0.035714286,0,556.5357143
Autohaus Lingenauer GmbH,2,Small_buyer,1,9,5,102,2018,45455,11927,0,0,1,0,1,0,1095
"Autohaus Gül, Inh. Volkan Gül",10,Small_buyer,4,8,7,98,2012,93383,5635,0,0,1,0,1,0,592.4
CAR DISCOUNT,3,Small_buyer,2,2,5,141,2010,119972,8843,0,0.333333333,0.666666667,0.333333333,0.666666667,0,281.3333333
Autohaus Knopp GmbH,1,Small_buyer,1,10,4,122,2017,77067,16741,1,0,0,0,1,0,1298
Autobedrijf Probaat V.O.F.,1,Small_buyer,1,9,4,140,2015,49044,12750,1,0,0,0,1,0,384
SLA,11,Small_buyer,4,3,9,166,2012,82636,11910,0.454545455,0.181818182,0.363636364,0.181818182,0.818181818,0,725.7272727
Auto Pluto Kft.,1,Small_buyer,1,10,3,387,2006,333606,6185,0,1,0,0,1,0,834
GARD AUTOMOBILE PASSION Toyota,1,Small_buyer,1,7,2,300,2004,240178,1803,0,1,0,0,1,0,-319
AUTO USATE LOW COST - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,1,Small_buyer,1,9,4,135,2019,35790,18434,0,0,1,0,1,0,634
