id,make,model,hp_cluster,age_cluster,mileage_cluster,sell_price,time_to_sell,ppu_cluster,buyer_id
1246754775,Alfa Romeo,Alfa 147,100-150hp,12-15years,100k+,1320,0-1,0_0.5k,60715
1245587594,Hyundai,i30,0-100hp,6-8years,70-80k,5628,4-8,0.5-1k,2297883
1246355913,BMW,2er,100-150hp,6-8years,100k+,9288,8-15,0_0.5k,149196
1246731548,Citroen,Berlingo,0-100hp,15+years,100k+,771,2-4,0_0.5k,34069
1246021134,Mercedes-Benz,B-Klasse,100-150hp,8-10years,50-60k,11126,0-1,0.5-1k,766751
1247274190,MINI,MINI,150-200hp,6-8years,90-100k,16552,8-15,0.5-1k,1679702
1246147906,Volkswagen,Golf Plus,100-150hp,15+years,100k+,2211,0-1,0_0.5k,6112235
1241278079,Porsche,Macan,300+hp,6-8years,90-100k,35563,+45,0_0.5k,2736343
1247047084,Ford,Galaxy,100-150hp,12-15years,100k+,4500,0-1,0_0.5k,6374711
1242610491,MINI,MINI,100-150hp,12-15years,90-100k,5502,0-1,0.5-1k,124517
1246714284,Fiat,Qubo,0-100hp,2-4years,30-40k,9257,0-1,1-1.5k,150914
1244307414,Nissan,Leaf,100-150hp,2-4years,30-40k,22926,+45,0_0.5k,2106701
1245972859,Ford,Fiesta,0-100hp,15+years,50-60k,2500,0-1,0_0.5k,3464633
1245584188,Audi,A4,100-150hp,15+years,100k+,440,15-30,0_0.5k,6151283
1243275774,Tesla,Model Y,300+hp,0-2years,0-10k,57500,+45,<-1k,123543
1247411807,Volkswagen,T-Roc,100-150hp,2-4years,30-40k,25105,8-15,1-1.5k,1997211
1246220199,Ford,Kuga,100-150hp,8-10years,100k+,7850,15-30,0_0.5k,21822
1246804448,BMW,1er,100-150hp,6-8years,100k+,10332,0-1,1.5-2k,1345431
1240468763,Volkswagen,Beetle,100-150hp,4-6years,40-50k,21200,+45,<-1k,78381
1245242715,Skoda,Superb,150-200hp,4-6years,70-80k,22685,15-30,1-1.5k,2614833
1247338676,Volkswagen,Golf VI,100-150hp,12-15years,100k+,5163,0-1,1-1.5k,115890
1246858180,Volkswagen,Amarok,150-200hp,10-12years,100k+,13500,0-1,1-1.5k,426761
1238442494,Ford,Fiesta,0-100hp,10-12years,100k+,2909,0-1,0.5-1k,538401
1229553185,Skoda,Octavia,150-200hp,6-8years,100k+,14601,2-4,0.5-1k,27680
1244300244,Dacia,Sandero II,100-150hp,0-2years,10-20k,10627,15-30,0.5-1k,146333
1236259321,Seat,Ibiza,100-150hp,2-4years,30-40k,15089,8-15,0.5-1k,6364805
1244415884,Ford,Focus,100-150hp,10-12years,100k+,3730,0-1,0_0.5k,339361
1245420437,Renault,Twingo,0-100hp,6-8years,100k+,2040,30-45,0_0.5k,6430268
1239301413,Volkswagen,Polo,0-100hp,10-12years,100k+,4316,0-1,1-1.5k,51877
1246906128,Volkswagen,Lupo,0-100hp,15+years,100k+,395,4-8,0_0.5k,6188047
1244969266,Mercedes-Benz,Vito,0-100hp,2-4years,20-30k,18000,0-1,0.5-1k,739791
1246704357,Volkswagen,Tiguan,150-200hp,0-2years,10-20k,43000,0-1,1.5-2k,78130
1246979901,BMW,3er,100-150hp,15+years,100k+,689,15-30,0_0.5k,4394883
1247330384,Renault,Megane,100-150hp,10-12years,50-60k,3150,0-1,0_0.5k,5105233
1226392950,BMW,3er,150-200hp,15+years,100k+,2882,0-1,0.5-1k,649001
1247494231,Audi,A3,100-150hp,15+years,100k+,3478,0-1,0.5-1k,5730883
1247054777,Opel,Insignia,100-150hp,12-15years,100k+,4395,4-8,0_0.5k,5825703
1244338527,BMW,X4,150-200hp,6-8years,100k+,22594,15-30,1.5-2k,1578542
1244626694,Seat,Ibiza,0-100hp,12-15years,100k+,904,8-15,0_0.5k,6260559
1246389952,Volkswagen,Polo,0-100hp,12-15years,50-60k,6138,0-1,0.5-1k,37300
1247184936,Volkswagen,Touran,100-150hp,12-15years,100k+,3673,8-15,0_0.5k,1550
1247338090,Opel,Vectra,100-150hp,15+years,100k+,780,8-15,0_0.5k,6319141
1247004159,Toyota,RAV 4,150-200hp,10-12years,60-70k,10502,0-1,1.5-2k,12779
1247399053,Kia,Sportage,150-200hp,4-6years,40-50k,19700,15-30,0.5-1k,17437
1246176941,Opel,Adam,0-100hp,2-4years,30-40k,10081,0-1,1-1.5k,20471
1246506853,Suzuki,Ignis,0-100hp,15+years,100k+,947,0-1,0_0.5k,34069
1247029500,Kia,Niro,100-150hp,4-6years,30-40k,23650,0-1,2k+,52208
1246414857,Mercedes-Benz,Vito Tourer,150-200hp,4-6years,100k+,23257,30-45,1.5-2k,6307347
1246498182,Volkswagen,Golf V,100-150hp,15+years,60-70k,3112,4-8,0.5-1k,53038
1248238279,Mercedes-Benz,A-Klasse,100-150hp,15+years,100k+,422,2-4,0_0.5k,40308
1248535766,Toyota,Yaris,0-100hp,15+years,100k+,1851,0-1,0.5-1k,3169583
1243363830,Mazda,CX-5,150-200hp,2-4years,40-50k,24018,+45,0.5-1k,4598423
1246059825,Hyundai,i10,0-100hp,6-8years,60-70k,5800,15-30,1-1.5k,1578542
1241694735,Citroen,Berlingo,100-150hp,12-15years,100k+,1264,+45,-1_0k,5785223
1246697015,Opel,Corsa,0-100hp,12-15years,100k+,1214,8-15,0_0.5k,1823422
1243794112,Skoda,Citigo,0-100hp,2-4years,20-30k,10314,+45,0_0.5k,226
1247875171,Volkswagen,Golf VII,100-150hp,6-8years,100k+,9000,0-1,0_0.5k,33664
1242948739,Volkswagen,Touareg,250-300hp,2-4years,60-70k,28615,+45,<-1k,52093
1242208897,Mercedes-Benz,C-Klasse,150-200hp,4-6years,60-70k,17490,+45,<-1k,6384392
1246932600,Volkswagen,Crafter,100-150hp,8-10years,90-100k,13339,0-1,1-1.5k,1578542
1243315771,Audi,A3,150-200hp,2-4years,0-10k,32171,30-45,1-1.5k,126380
1242589491,Hyundai,i10,0-100hp,4-6years,50-60k,8947,0-1,1-1.5k,621
1246572910,Seat,Ibiza,0-100hp,6-8years,100k+,3900,4-8,0.5-1k,55186
1242787677,MINI,Clubman,100-150hp,4-6years,70-80k,10712,8-15,0.5-1k,59254
1248167816,BMW,1er,100-150hp,8-10years,100k+,8677,0-1,0.5-1k,12779
1246715538,Chrysler,300 C,200-250hp,12-15years,100k+,5562,+45,0_0.5k,515271
1247942978,Peugeot,1007,100-150hp,12-15years,100k+,1000,0-1,0_0.5k,5902733
1245689417,Mazda,6,150-200hp,10-12years,100k+,4085,+45,-1_0k,2703913
1247967996,Porsche,Panamera,300+hp,8-10years,100k+,34841,0-1,2k+,6406330
1247287318,Ford,EcoSport,100-150hp,2-4years,20-30k,15750,0-1,0.5-1k,32358
1247398376,Mercedes-Benz,C-Klasse,150-200hp,6-8years,100k+,9247,8-15,0_0.5k,6234429
1247602089,Volkswagen,Golf VI,0-100hp,12-15years,100k+,3892,0-1,0.5-1k,6220030
1246121971,BMW,3er,100-150hp,15+years,100k+,2089,15-30,0_0.5k,47991
1246450464,Ford,Mondeo,100-150hp,15+years,50-60k,2216,0-1,0_0.5k,30502
1246867371,Suzuki,Swift,0-100hp,8-10years,100k+,5064,0-1,1-1.5k,3333453
1246256104,Mercedes-Benz,A-Klasse,100-150hp,15+years,100k+,1255,2-4,0_0.5k,6420399
1247441378,Renault,Twingo,0-100hp,4-6years,40-50k,9491,0-1,0.5-1k,1565162
1242908601,BMW,X3,300+hp,4-6years,50-60k,29795,15-30,0.5-1k,77482
1245091549,Volkswagen,Tiguan,100-150hp,4-6years,80-90k,18218,+45,<-1k,3826403
1246981893,Renault,Master,100-150hp,4-6years,70-80k,19703,0-1,0.5-1k,22252
1232915569,Renault,Twingo,0-100hp,15+years,100k+,597,0-1,0_0.5k,6442186
