id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,benzin,diesel,hybrid,automatic,manual,time_online_to_reserve_
NA33868,4000,DE,0,Smart,fortwo,1.0,Gray,2012,Coupe,Stoff,4.7,79787,70,1,0,0,1,0,12
GX53326,19299,DE,0,Toyota,C-HR,1.8 Hybrid,Gray,2018,SUV,Stoff,4.9,51093,122,0,0,1,1,0,109
HH88740,8249,DE,0,Skoda,Rapid,1.2 TSI,Brown,2016,Limousine,Stoff,4.6,80103,90,1,0,0,0,1,21
JR05393,30003,DE,0,Volkswagen,T-Roc,1.5 TSI ACT,Blue,2020,Cabrio,Stoff,5.5,13787,150,1,0,0,1,0,64
KH31718,20313,DE,0,Audi,Q5,2.0 TDI,Gray,2016,SUV,Alcantara,5.7,103687,190,0,1,0,1,0,1
ZV23523,10384,DE,0,Ford,EcoSport,1.0 EcoBoost,Gray,2017,SUV,Stoff,5.3,46156,125,1,0,0,0,1,117
LM19930,4266,DE,0,Opel,Corsa,1.2,Brown,2013,Limousine,Stoff,5.1,70504,70,1,0,0,0,1,1
NB03002,12864,DE,0,Renault,Captur,1.3 TCe,Gray,2019,SUV,Stoff,5.6,19638,131,1,0,0,0,1,1
VF02707,29530,DE,0,Volvo,V 90,2.0 D4,Brown,2018,Kombi,Leder,5.3,23581,190,0,1,0,1,0,22
UE61070,7418,DE,0,Peugeot,208,1.2 e-VTi,White,2017,Limousine,Stoff,4.8,20746,82,1,0,0,0,1,37
TT31359,16733,DE,0,Ford,Focus,2.0 EcoBoost,Gray,2016,Kombi,Teilleder,6.8,58444,250,1,0,0,0,1,4
VJ22485,6234,DE,0,Citroen,C1,1.2 VTi,Blue,2016,Limousine,Stoff,4.3,43221,82,1,0,0,0,1,85
VH05136,10000,DE,0,Volkswagen,Touran,1.2 TSI,Black,2013,Van,Stoff,6.4,82423,105,1,0,0,0,1,14
VK15008,10212,DE,0,Mazda,2,1.5,White,2018,Limousine,Stoff,4.9,40562,75,1,0,0,0,1,97
UG48061,8140,DE,0,Hyundai,i20,1.2,Gray,2018,Limousine,Stoff,4.8,29791,85,1,0,0,0,1,49
VB52801,10406,DE,0,Skoda,Rapid,1.0 TSI,Gray,2017,Limousine,Stoff,4.6,87536,110,1,0,0,0,1,1
TL03187,43406,DE,1,Volkswagen,T6 Multivan,2.0 TDI,White,2018,Bus,Alcantara,6.8,78893,205,0,1,0,1,0,11
HY38807,18019,DE,0,Mercedes-Benz,C-Klasse,C 220 d,Silver,2017,Kombi,Teilleder,4.3,108726,170,0,1,0,1,0,44
TX34211,11178,DE,0,Mazda,CX-5,2.2 Turbodiesel,Red,2015,SUV,Stoff,4.6,96228,150,0,1,0,0,1,1
XP55157,36541,DE,1,Mercedes-Benz,GLE-Klasse,GLE 350 d,Brown,2015,SUV,Leder,6.4,71456,258,0,1,0,1,0,103
XA88838,34900,DE,0,Mercedes-Benz,GLC-Klasse,GLC 250,White,2017,Coupe,Teilleder,6.9,68727,210,1,0,0,1,0,51
ZU60285,11241,DE,0,Volkswagen,Golf VII,1.6 TDI,White,2017,Kombi,Stoff,4.1,99252,115,0,1,0,0,1,55
XE99700,24500,DE,0,Hyundai,i30,2.0 TGDI,Gray,2019,Limousine,Teilleder,7.8,21948,275,1,0,0,0,1,39
CB54512,23855,DE,0,Mercedes-Benz,GLA-Klasse,GLA 200,White,2017,SUV,Teilleder,5.8,60824,155,1,0,0,1,0,1
YT18690,8480,DE,0,Skoda,Rapid,1.2 TSI,Black,2016,Limousine,Stoff,4.9,76669,110,1,0,0,0,1,4
KW13139,34520,DE,0,Skoda,Kodiaq,2.0 TDI,Silver,2019,SUV,Leder,5.5,30994,190,0,1,0,1,0,37
WT01179,13742,PL,0,Volkswagen,Golf VII,1.4 TSI,White,2017,Kombi,Stoff,5.1,90324,125,1,0,0,1,0,1
DJ09032,13327,DE,0,Volvo,XC 60,2.0 D3,Black,2013,SUV,Leder,6.0,113725,135,0,1,0,0,1,20
DH68945,18400,DE,0,Audi,A4,1.4 TFSI,Gray,2016,Limousine,Teilleder,5.5,41336,150,1,0,0,0,1,18
PV39369,18120,DE,0,Volkswagen,Touran,1.2 TSI,Black,2018,Van,Stoff,5.5,76061,110,1,0,0,0,1,1
FJ75141,12121,DE,0,Fiat,500,1.2,White,2020,Limousine,Stoff,5.2,1848,70,1,0,0,1,0,1
KE55729,4132,DE,0,Peugeot,107,1.0,Purple,2013,Limousine,Stoff,4.3,26050,68,1,0,0,0,1,25
TB05762,7216,DE,0,Opel,Mokka,1.7 CDTI,Black,2012,SUV,Teilleder,4.5,104417,130,0,1,0,0,1,9
AF90615,13576,DE,1,Mercedes-Benz,A-Klasse,A 200,Black,2016,Limousine,Leder,5.5,56314,155,1,0,0,0,1,3
TB46393,11857,DE,0,MINI,MINI,Cooper,White,2016,Limousine,Teilleder,4.6,64141,135,1,0,0,0,1,15
TB54252,11763,DE,0,Volkswagen,Golf VII Sportsvan,1.2 TSI,Gray,2016,Van,Stoff,5.2,24998,110,1,0,0,0,1,78
