id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
SA78025,18045,DE,0,Ford,Focus,1.0 EcoBoost Mild-Hybrid,White,2020,Kombi,Stoff,4.2,33890,125,Benzin,manual,65
VL32187,12254,DE,0,Subaru,Forester,2.0,Gray,2015,SUV,Stoff,6.5,119803,150,Benzin,automatic,2
SZ83019,23738,DE,0,Volkswagen,Touran,1.8 TSI,Gray,2017,Van,Alcantara,6.1,59372,180,Benzin,automatic,21
NS36040,6981,DE,0,Citroen,DS3 Cabrio,1.6 VTi,White,2013,Cabrio,Stoff,5.9,89791,120,Benzin,manual,106
JT65383,17511,DE,0,Volkswagen,Sharan,2.0 TDI,Black,2015,Van,Stoff,5.1,85307,150,Diesel,manual,10
KA27551,6543,DE,0,Ford,Fiesta,1.5 TDCi,Beige,2016,Limousine,Stoff,3.6,88107,95,Diesel,manual,5
EW33740,9867,DK,0,Volkswagen,Caddy,1.6 TDI,Black,2014,Kombi,Stoff,5.2,92238,102,Diesel,manual,12
KD46026,19172,DE,1,Volvo,XC 60,2.0 D4,Blue,2016,SUV,Stoff,4.5,111754,190,Diesel,automatic,12
NC31058,18404,DE,0,Mercedes-Benz,C-Klasse,C 220 d,Gray,2014,Limousine,Teilleder,4.0,31902,170,Diesel,automatic,17
JL90320,11142,DE,0,BMW,1er,116i,Black,2017,Limousine,Stoff,5.3,80230,110,Benzin,manual,12
FJ17516,17718,DE,0,Jeep,Compass,1.4 M-Air,White,2017,SUV,Leder,6.2,34877,140,Benzin,manual,16
MX17331,15086,DE,0,Volkswagen,Golf,1.0 TSI,Blue,2018,Limousine,Stoff,4.8,16376,116,Benzin,manual,10
PD56552,21034,DE,0,Mercedes-Benz,C-Klasse,C 220 d,Gray,2014,Limousine,Leder,4.0,49672,170,Diesel,automatic,8
VN95219,25250,DE,0,Ford,Focus,2.3 EcoBoost,Blue,2019,Limousine,Teilleder,7.8,32713,280,Benzin,manual,15
NP47625,13826,DE,0,Volkswagen,Golf VII,1.5 TSI,Yellow,2018,Limousine,Stoff,5,52596,150,Benzin,manual,49
ZB76891,6212,DE,0,Volkswagen,Golf VI,1.2 TSI,Gray,2012,Limousine,Teilleder,5.7,103035,105,Benzin,manual,3
VN40906,20877,DE,0,Audi,A5 Sportback,2.0 TFSI,Gray,2015,Kombi,Leder,5.9,67622,230,Benzin,automatic,51
TT87677,17139,DE,1,Volkswagen,Touran,2.0 TDI,Gray,2015,Van,Stoff,4.7,97146,150,Diesel,automatic,1
PB32550,13875,DE,0,Audi,A4,2.0 TDI,Gray,2015,Kombi,Stoff,5.6,111769,190,Diesel,automatic,51
PP23288,21266,DE,0,Mitsubishi,Outlander,2.0,Gray,2016,SUV,Teilleder,1.2,36528,120,Hybrid,automatic,15
PU71851,16785,DE,0,Volkswagen,Passat,1.4 TSI,White,2018,Limousine,Stoff,5.3,29571,125,Benzin,manual,43
KS22340,14500,DE,0,Skoda,Octavia,2.0 TDI,White,2017,Kombi,Stoff,4.9,109108,150,Diesel,manual,70
EU71627,23243,DE,0,Volkswagen,Passat,2.0 TSI,Black,2017,Limousine,Leder,6.3,33826,220,Benzin,automatic,68
FR46573,13357,DE,0,Volkswagen,Polo,1.8 TSI,Black,2016,Limousine,Stoff,6.0,32958,192,Benzin,manual,70
EY90040,9474,DE,0,Smart,fortwo,1.0,White,2016,Coupe,Stoff,4.1,4004,70,Benzin,automatic,41
FM65522,20507,HU,0,Seat,Leon,2.0 TSI,Gray,2019,Kombi,Stoff,6.2,41464,190,Benzin,automatic,134
FA26850,8848,DE,0,Opel,Karl,1.0,Black,2019,Limousine,Stoff,5.2,5900,73,Benzin,manual,24
DD66001,13151,DE,0,Audi,A3,1.6 TDI,Black,2015,Limousine,Stoff,3.9,68009,110,Diesel,automatic,28
FX33356,5080,DE,0,Ford,Fiesta,1.0 EcoBoost,Red,2015,Limousine,Stoff,4.3,101310,100,Benzin,manual,73
CK43353,7640,CZ,0,Seat,Ibiza,1.2 TSI,Black,2016,Limousine,Stoff,4.9,30849,90,Benzin,manual,2
