week,share_opps,share_bookmarks,share_sold,share_contracts_signed
2022-01,1.3876510067114094,4.412885906040269,0.09798657718120805,0.14711409395973155
2022-02,1.4570196712476422,4.234707625976825,0.11506332524925895,0.1544058205335489
2022-03,1.550445530324806,4.293762575452717,0.11267605633802817,0.16125323368784134
2022-04,1.5750970438936995,4.740519558077038,0.1113765303075545,0.15616601970737534
2022-05,1.579454253611557,4.3865168539325845,0.12423756019261638,0.1727126805778491
2022-06,1.5703774792066538,4.550543825975688,0.12348048624440179,0.1785028790786948
2022-07,1.571754729288976,4.460208741030659,0.11937377690802348,0.17449445531637311
2022-08,1.5859350362661622,4.334594765058341,0.12204351939451277,0.1803847366761274
2022-09,1.3555485696321912,3.6862621817038668,0.114115058157812,0.16850047154982709
2022-10,1.2628040973111396,3.7535211267605635,0.09058898847631242,0.1469270166453265
2022-11,1.2018568433662773,3.6322252171308773,0.09254267744833783,0.14525306978137167
2022-12,1.1708083404741503,3.1128249071693803,0.0856898029134533,0.1405312767780634
2022-13,1.1918970709006296,3.2170818505338077,0.08349301943607994,0.13441007391185328
2022-14,1.1231135822081018,3.2247815726767275,0.0937251787132645,0.1572676727561557
2022-15,0.9992313604919293,3.037919549064822,0.07865744299256981,0.12938765052523699
2022-16,1.036459642946945,3.1722403821976366,0.07266784008046266,0.13200905204928337
2022-17,1.0197780993728895,2.9216111915098892,0.09286058851905452,0.14592378195851424
2022-18,0.9360955056179775,2.9758895131086143,0.08309925093632958,0.136938202247191
2022-19,0.8855653750283254,2.802855200543848,0.09290731928393384,0.14185361432132337
2022-20,0.8631693989071039,2.698360655737705,0.08306010928961749,0.13617486338797813
2022-21,0.8367971997374754,2.697877926055568,0.07175672719317436,0.12688689564646685
2022-22,0.8556610019863164,2.9099536526153167,0.08055616861619952,0.1337453100860737
2022-23,0.827455121436114,2.7518479408658925,0.07349524815205913,0.12713833157338966
2022-24,0.8247721623860812,2.5594449047224526,0.0811930405965203,0.1396023198011599
2022-25,0.9215365753984471,2.728442991418063,0.08295872496935022,0.13874131589701674
2022-26,0.9392728725529365,2.7706751897722732,0.08709548541749901,0.14322812624850179
2022-27,0.8639713204540929,2.571599283011352,0.0876319458275244,0.14399522007568213
2022-28,0.8527679623085983,2.657636435021594,0.08186101295641932,0.12740478994895957
2022-29,0.8167468719923003,2.205004812319538,0.07468719923002888,0.12666025024061597
2022-30,0.9705432287681713,2.320581484315226,0.08530986993114001,0.14326702371843916
2022-31,0.9158036056770233,2.333716915995397,0.09570387418488684,0.1518987341772152
2022-32,0.9507606084867894,2.319855884707766,0.09527622097678143,0.1489191353082466
2022-33,1.0242081904377647,2.2370385313697803,0.09642929191042969,0.15755497276578576
2022-34,1.0425929773530023,2.297111988364845,0.0943278620403075,0.15603573654685227
2022-35,1.078317017288065,2.466361174755259,0.09268902312018329,0.15684232451572588
2022-36,1.0937432810148355,2.582670393463771,0.0993334766716835,0.166200817028596
2022-37,1.1152236175369024,2.66975104648601,0.10486891385767791,0.17470808548138356
2022-38,1.149387370405278,2.768143261074458,0.11310084825636192,0.1950989632422243
2022-39,1.1789823574533367,3.273587317821529,0.13602659166453593,0.21554589619023268
2022-40,1.2214348981399468,3.6206082078535577,0.11662237968703867,0.1913197519929141
2022-41,1.3532846715328468,4.0216058394160585,0.12583941605839416,0.21576642335766424
2022-42,1.517910447761194,4.342686567164179,0.13492537313432837,0.2316417910447761
2022-43,1.551863354037267,4.706521739130435,0.1298136645962733,0.23167701863354037
2022-44,1.690307328605201,5.047956771361027,0.1425194191151638,0.2546437014522121
2022-45,1.7771489211177927,4.88715953307393,0.1616554651574107,0.2798019101521047
2022-46,1.8781362007168458,5.440860215053763,0.13691756272401434,0.24659498207885305
2022-47,1.7971749366171677,5.303513219847881,0.15320536037667512,0.27200289750090545
2022-48,1.7487103905674282,5.496683861459101,0.15070007369196758,0.2774502579218865
2022-49,1.7780277465316836,5.598800149981252,0.15598050243719536,0.2688413948256468
2022-50,1.6767272727272726,5.128,0.15345454545454545,0.26581818181818184
2022-51,1.6372586141613026,5.522907989397956,0.14123438091631957,0.25785687239681937
2022-52,1.7996924259900038,6.305267204921184,0.14648212226066898,0.2549019607843137
2022-53,0.19671338811019817,0.8274528757854036,0.014983083615273078,0.025616239729337843
2023-01,2.335121749896822,7.366075113495667,0.2141972761040033,0.3545191910854313
2023-02,2.5369344413665744,8.095567867036012,0.216528162511542,0.37719298245614036
2023-03,2.6420845624385447,9.13913470993117,0.252212389380531,0.40757128810226156
2023-04,2.8971279373368146,9.101305483028721,0.24386422976501307,0.42193211488250654
2023-05,2.888647474198805,9.348180336773492,0.2574687669744704,0.4388919065725149
2023-06,2.651402404121351,8.762449914138523,0.24899828277046365,0.4224384659416142
2023-07,2.6095641646489103,9.297820823244551,0.23728813559322035,0.4116222760290557
2023-08,2.5197132616487457,8.821385902031063,0.22759856630824374,0.3643966547192354
2023-09,2.589160839160839,8.364219114219114,0.2162004662004662,0.4085081585081585
2023-10,2.4,8.05606936416185,0.15664739884393064,0.41502890173410406
2023-11,2.2489451476793247,7.819620253164557,0.14187763713080168,0.41983122362869196
2023-12,2.1131982204646564,7.7073652990608,0.16213544241225902,0.43944636678200694
2023-13,1.9865449303219607,7.120615088899568,0.15761653051417587,0.41134070158577607
2023-14,1.820335636722606,6.784797630799605,0.12438302073050346,0.36722606120434353
2023-15,1.8027698185291308,7.02865329512894,0.14756446991404013,0.3629417382999045
2023-16,1.8181417877586965,6.409070893879348,0.17040951122853368,0.3980625275209159
2023-17,1.72448132780083,7.187966804979253,0.15809128630705394,0.35269709543568467
2023-18,1.590492804186655,6.870911469690362,0.141735717400785,0.3471434801569996
2023-19,1.6441899915182359,6.535623409669212,0.16242578456318915,0.35368956743002544
2023-20,1.5820523473203159,6.184046530951392,0.13045284586622352,0.2850020772746157
2023-21,0.5495829471733086,2.0500463392029658,0.05004633920296571,0.09870250231696015
